namespace,phase,unix_ts
gsm-1,t0,1781247845.667288538
gsm-1,t_apply,1781247846.384685952
gsm-1,t_ready,1781247883.460439158
gsm-1,t_attached,1781247884.165058527
gsm-1,t_test0,1781247884.166468874
gsm-1,t_testN,1781247983.430965059
gsm-1,t_teardown,1781248038.985352710
gsm-2,t0,1781247845.673000381
gsm-2,t_apply,1781247846.320914328
gsm-2,t_ready,1781247882.833137285
gsm-2,t_attached,1781247883.230098864
gsm-2,t_test0,1781247883.231404071
gsm-2,t_testN,1781247984.580841728
gsm-2,t_teardown,1781248042.405696664
gsm-3,t0,1781247845.673047464
gsm-3,t_apply,1781247846.282630642
gsm-3,t_ready,1781247882.839379564
gsm-3,t_attached,1781247883.230080802
gsm-3,t_test0,1781247883.231410381
gsm-3,t_testN,1781248011.146286073
gsm-3,t_teardown,1781248063.573504792
