namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-7phz8,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-sx57p,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-bmrhz,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-l8xkf,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-mwmzr,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-6lbhr,mobile,0,false,
gsm-1,osmo-stp-768687f494-58qss,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-8-1-3-4-1-1-n4v9q,ttcn3,0,false,
gsm-1,virtphy-858665df6d-h9pqc,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-54g7k,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-9462n,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-8l5s4,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-l85hf,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-sxdnp,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-kjhlc,mobile,0,false,
gsm-2,osmo-stp-768687f494-n6bt7,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-8-1-3-4-2-1-zwp4m,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-fhqq2,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-f56vs,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-gt4rx,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-mz6g9,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-vql5s,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-hjt4t,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-95fsq,mobile,0,false,
gsm-3,osmo-stp-768687f494-pp8n4,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-8-1-3-4-7-1-qstpb,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-n7bdr,virtphy,0,false,
