unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780916360,85.29,82169984,16.78,483,1572864,171168,56,0,0,0,0,6,5,15
1780916363,74.54,82961640,18.00,567,1572864,171264,57,18877,305702,0,28225536,26,21,15
1780916365,81.30,83645292,18.00,780,1572864,172224,54,27036,195414,0,158113792,37,36,15
1780916367,75.66,83645600,26.41,743,1572864,172992,51,15261,123133,40960,50790400,49,46,15
1780916374,74.26,84105240,26.41,926,1572864,173568,52,27103,135008,1449984,91475968,70,59,15
1780916376,83.74,84949048,43.94,1301,1572864,174144,67,46092,247289,913408,160841728,70,69,15
1780916379,83.54,87297624,43.94,1526,1572864,174528,67,22556,65967,917504,44511232,70,69,15
1780916382,80.43,87502592,43.38,1827,1572864,174336,84,15315,64991,217088,167030784,70,69,15
1780916384,95.94,87738360,43.38,2099,1572864,174336,101,25100,56986,1835008,16351232,70,69,15
1780916386,92.10,87734552,44.63,2221,1572864,174528,123,32667,61980,0,235507712,70,69,15
1780916388,53.02,87631648,44.63,2313,1572864,174240,133,28874,24309,0,166748160,70,69,16
1780916390,46.48,87687724,43.86,2452,1572864,174144,161,40274,26520,53248,42921984,70,69,16
1780916393,47.91,88197088,43.86,2519,1572864,174240,190,40452,35534,98304,35164160,70,69,16
1780916395,55.29,87832800,44.59,2595,1572864,174336,229,49703,18134,286720,32907264,70,69,16
1780916398,83.87,89235844,44.59,2649,1572864,174240,242,36565,12825,0,72814592,70,69,16
1780916400,65.07,88866632,43.66,2730,1572864,174240,268,54449,65420,0,35491840,70,69,16
1780916403,66.44,88662356,43.66,2798,1572864,174336,299,40422,28663,4096,43470848,70,69,16
1780916407,67.27,88928056,48.34,2964,1572864,174432,344,51905,20230,159744,49377280,78,77,16
1780916409,81.94,89073864,48.34,3069,1572864,174816,369,391409,50333,229376,105533440,78,77,16
1780916411,55.49,89082460,46.63,3127,1572864,175008,394,442374,14965,0,16064512,78,77,16
1780916413,55.14,89165416,46.63,3203,1572864,175008,414,429447,14782,77824,152240128,78,77,16
1780916420,85.68,89518560,52.26,3509,1572864,175200,437,596013,56649,299008,388308992,78,77,16
1780916423,95.81,91334332,59.45,3712,1572864,174624,494,508246,72074,0,91463680,83,81,16
1780916426,86.11,86884468,58.21,3828,1572864,174720,511,580125,37250,0,35897344,86,85,16
1780916428,73.65,86946128,58.21,3906,1572864,174912,536,475437,30885,974848,46727168,86,85,16
1780916430,60.97,87034888,58.21,4109,1572864,174624,555,446746,21054,40960,110821376,86,85,16
1780916432,82.83,87267980,55.47,1695,1572864,174624,579,456707,37934,12288,59322368,86,85,16
1780916435,91.04,87167444,55.47,1771,1572864,174624,605,270494,45721,0,66772992,86,85,16
1780916437,88.41,87316376,56.96,1886,1572864,174912,617,224941,20319,0,98107392,90,89,16
