namespace,pod,container,restarts,oom_killed,exit_code
gsm-6,msc-test-stub-589b74d577-4z64v,msc-test-stub,9,false,137
gsm-6,osmo-bsc-594654bd47-bvwj6,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-crzqp,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-76d9565554-7vr5t,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-t4gtd,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-4rzzj,mobile,0,false,
gsm-6,osmo-stp-768687f494-pbkjj,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-6-1-4-8-sxbq7,ttcn3,0,false,
gsm-6,ttcn3-tc-26-6-5-1-15-8hwtr,ttcn3,0,false,
gsm-6,ttcn3-tc-26-7-4-5-3-6-gwwzh,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-2-4-13-7-z7rww,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-2-4-5-5-8nhbv,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-2-6-2-4-nwnhq,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-3-3-4-3-nt275,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-3-4-6-2-xmtmt,ttcn3,0,false,
gsm-6,ttcn3-tc-26-8-1-3-5-6-1-v777c,ttcn3,0,false,
gsm-6,virtphy-5fdf88865c-s525l,virtphy,0,false,
