unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781070770,20.00,80853760,15.70,984,1572864,178272,68,0,0,69632,0,6,5,15
1781070772,49.33,81039132,15.16,1011,1572864,178368,68,10410,53281,1949696,85929984,14,13,15
1781070774,33.41,80841188,15.16,846,1572864,178368,70,7199,51100,0,7454720,14,13,15
1781070776,22.30,80928324,15.07,870,1572864,178272,73,5650,7240,229376,66998272,14,13,15
1781070778,20.56,81134368,15.07,904,1572864,178176,78,11428,32164,163840,6680576,14,13,15
1781070780,20.10,81010976,15.07,893,1572864,177792,81,5999,24649,139264,7806976,14,13,15
1781070782,22.25,81300856,14.82,1009,1572864,178080,84,6056,12040,0,1683456,14,13,15
1781070784,20.97,81528824,14.82,1139,1572864,178080,99,5427,4264,307200,30908416,14,13,15
1781070786,25.75,81298296,14.82,1167,1572864,178464,112,9590,7857,0,14663680,14,13,15
1781070788,18.06,81083184,14.20,1179,1572864,178368,117,8396,5103,12288,30851072,14,13,15
1781070789,17.18,81137992,14.20,1196,1572864,178272,116,13386,7778,8192,46100480,14,13,15
1781070791,20.70,81220544,13.86,1222,1572864,178272,118,8400,10306,12288,109608960,14,13,15
1781070793,22.54,81237352,13.86,1332,1572864,178272,128,4629,3002,4096,416899072,14,13,15
1781070795,16.73,80907012,13.86,1337,1572864,178272,134,7977,5605,4096,3284992,14,13,15
1781070797,14.81,80877776,13.31,1349,1572864,178176,139,8818,4698,0,58257408,14,13,15
1781070799,14.12,80794880,13.31,1361,1572864,178176,141,14136,7911,4096,1871872,14,13,15
1781070801,14.81,80849712,13.31,1372,1572864,178080,141,8397,4106,4096,1306624,14,13,15
1781070802,18.02,80779868,13.20,1385,1572864,177888,145,9347,5940,32768,233844736,14,13,15
1781070804,16.25,80765204,13.20,1396,1572864,178080,149,9359,11067,0,12627968,14,13,15
1781070806,14.04,80720364,12.55,1405,1572864,178080,145,8588,4680,0,26644480,14,13,15
1781070808,15.11,80723076,12.55,1417,1572864,178080,150,12341,7021,0,1396736,14,13,15
1781070810,23.17,80772044,12.55,1439,1572864,178080,148,8441,6855,53248,4874240,15,14,15
1781070812,19.62,80799408,12.82,1453,1572864,178176,155,9209,9172,4096,35291136,15,14,15
1781070814,14.03,80793764,12.82,1466,1572864,177984,158,7960,4446,0,38150144,15,14,15
1781070815,13.58,80722512,12.82,1507,1572864,177792,158,10496,5989,159744,4595712,15,14,15
1781070817,15.09,80689740,13.16,1519,1572864,177888,163,7871,4774,708608,1196032,15,14,15
1781070819,15.80,80643492,13.16,818,1572864,177792,165,7881,5720,0,34004992,15,14,15
1781070821,15.83,80599620,13.15,825,1572864,177792,166,6988,3428,0,2248704,15,14,15
1781070823,15.10,80683056,13.15,843,1572864,177792,167,8935,5782,163840,1589248,15,14,15
1781070825,12.19,80637008,13.15,849,1572864,177792,169,7454,5851,0,14540800,15,14,15
1781070827,13.29,80630752,12.57,860,1572864,177600,171,10724,7604,0,27344896,15,14,15
1781070829,14.99,80596320,12.57,873,1572864,177504,176,12419,7818,0,1548288,15,14,15
1781070831,15.65,80595336,12.57,883,1572864,177408,170,7464,4554,0,1351680,15,14,15
1781070833,16.28,80583208,12.29,900,1572864,177312,177,8413,5571,110592,32514048,15,14,15
1781070835,16.31,80625584,12.29,912,1572864,177408,170,9674,4890,81920,38871040,15,14,15
1781070837,15.68,80656416,11.94,920,1572864,177696,173,7331,4180,0,2113536,15,14,15
1781070839,17.77,80632592,11.94,934,1572864,177600,166,12727,10059,0,1617920,15,14,15
1781070840,14.60,80687764,11.94,947,1572864,177696,174,7775,5243,49152,40464384,15,14,15
1781070842,18.74,81027292,11.87,1067,1572864,177888,168,7403,4412,0,3637248,15,14,15
1781070844,16.23,80695256,11.87,1075,1572864,177984,169,9121,4356,0,25702400,15,14,15
1781070846,13.72,80698096,11.32,1086,1572864,178176,171,9450,4793,0,17276928,15,14,15
1781070848,13.23,80640968,11.32,1096,1572864,177888,149,13372,7336,45056,1495040,15,14,15
1781070850,13.03,80215776,11.32,1111,1572864,177504,156,8276,5416,0,24158208,15,14,15
1781070852,14.46,80233444,10.73,1124,1572864,177792,155,7703,5066,0,242372608,15,14,15
1781070854,12.84,80296684,10.73,1132,1572864,177792,160,8001,7421,0,675840,15,14,15
1781070855,14.73,80455000,10.73,1147,1572864,177696,147,8404,5110,0,34201600,15,14,15
1781070857,13.27,80436080,10.35,1151,1572864,177792,148,6618,3421,0,35803136,15,14,15
