unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780986585,33.33,92827816,18.81,396,1572864,184608,55,0,0,8708096,0,6,5,15
1780986588,50.12,93487940,18.81,413,1572864,184704,56,12098,48429,22188032,19353600,12,11,15
1780986589,69.42,94339136,20.51,474,1572864,184800,51,15164,62610,8302592,34615296,14,13,15
1780986591,63.42,95426356,20.51,505,1572864,185088,53,5319,14499,15368192,18358272,14,13,15
1780986593,69.91,95978868,20.51,520,1572864,184704,53,6977,25166,360448,52543488,14,13,15
1780986595,67.17,95345848,22.39,556,1572864,184608,56,1580,8440,499712,57139200,14,13,15
1780986597,49.39,95298396,22.39,571,1572864,184704,57,5590,4167,98304,22204416,14,13,15
1780986599,29.14,95249156,21.56,606,1572864,184704,64,10366,10020,159744,80932864,14,13,15
1780986601,33.47,95213256,21.56,629,1572864,184992,74,6838,7345,307200,53350400,14,13,15
1780986603,26.27,95146844,21.56,646,1572864,184800,78,7652,4367,45056,28348416,14,13,15
1780986605,28.46,94735012,20.87,657,1572864,184512,80,10629,5588,716800,26042368,14,13,15
1780986607,59.36,95521416,20.87,669,1572864,184416,85,10722,12414,94208,71200768,14,13,15
1780986609,68.53,96318528,21.44,680,1572864,184128,87,13497,7566,327680,162164736,14,13,15
1780986611,57.93,95203048,21.44,701,1572864,184224,92,9584,5350,94208,39821312,14,13,15
1780986613,34.26,95103884,21.44,711,1572864,184224,92,8047,3894,65536,38637568,14,13,15
1780986615,27.51,95043288,21.09,721,1572864,184416,96,8795,6775,159744,71938048,14,13,15
1780986617,28.63,94412012,21.09,736,1572864,184416,98,8376,4395,20480,111869952,14,13,15
1780986619,28.44,94497684,20.76,754,1572864,184512,109,14927,9046,98304,159920128,14,13,15
1780986621,63.65,95332540,20.76,766,1572864,184416,109,9379,10928,81920,52596736,14,13,15
1780986623,73.76,95600428,20.76,775,1572864,184128,113,9251,4501,327680,5373952,14,13,15
1780986625,64.92,94986904,21.74,786,1572864,184032,111,9229,22587,221184,32079872,14,13,15
1780986627,54.63,94802720,21.74,816,1572864,184416,115,9961,5601,5013504,18280448,15,14,15
1780986629,25.91,94748280,20.96,841,1572864,184320,120,13155,13897,0,2392064,15,14,15
1780986631,28.60,94717804,20.96,851,1572864,184320,123,7898,5227,32768,135602176,15,14,15
1780986633,28.55,94712288,20.96,871,1572864,184416,124,7506,4104,249856,3989504,15,14,15
1780986635,27.41,94939412,20.48,898,1572864,184512,128,9662,5510,851968,31526912,15,14,15
1780986637,51.43,95058564,20.48,909,1572864,184512,133,8206,5639,2715648,86556672,15,14,15
1780986639,84.78,96784176,19.88,929,1572864,184608,129,15029,9094,1884160,23228416,15,14,15
1780986641,46.69,96927132,19.88,946,1572864,184704,131,10258,7231,28672,36270080,15,14,15
1780986643,45.08,96112272,19.88,979,1572864,184512,141,7093,4339,69632,23814144,15,14,15
1780986645,30.78,96418048,19.17,991,1572864,184608,147,7403,6070,0,5226496,15,14,15
1780986647,53.76,97191960,19.17,519,1572864,184512,152,10360,5926,77824,7032832,15,14,15
1780986650,83.08,97353332,22.04,530,1572864,184800,155,12624,7263,65536,33198080,15,14,15
1780986652,96.54,97548796,22.04,543,1572864,184704,156,14111,7509,0,64401408,15,14,15
1780986654,73.57,97462796,22.04,553,1572864,184608,153,7697,3728,8192,11436032,15,14,15
1780986656,79.64,97151004,24.28,568,1572864,184416,157,9141,5497,4096,20590592,15,14,15
1780986658,36.54,97189788,24.28,580,1572864,184416,156,12784,8288,16384,121028608,15,14,15
1780986660,31.49,97512916,23.62,592,1572864,184608,159,8823,7387,0,20529152,15,14,15
1780986662,74.77,98915868,23.62,603,1572864,184512,146,9978,4933,135168,44699648,15,14,15
1780986664,60.45,99176364,23.62,612,1572864,184608,148,9747,5151,12288,97828864,15,14,15
1780986667,62.55,98218024,24.85,624,1572864,184608,139,7662,4280,4096,234635264,15,14,15
1780986669,28.97,94709628,24.85,646,1572864,184416,150,15200,9421,0,83095552,15,14,15
1780986671,23.26,94866256,23.82,657,1572864,184608,146,8291,5412,0,3674112,15,14,15
1780986673,24.01,95118880,23.82,665,1572864,184608,148,7123,3843,0,19443712,15,14,15
1780986675,31.93,95476056,22.63,674,1572864,184320,144,7659,7335,0,1474560,15,14,15
1780986677,86.16,97298008,22.63,699,1572864,184512,151,8698,5740,0,23777280,15,14,15
1780986679,92.62,96786564,25.06,710,1572864,184704,140,12091,7112,0,66736128,15,14,15
1780986681,96.25,96475332,25.06,719,1572864,184800,145,7702,4510,0,23482368,15,14,15
1780986683,38.51,96241184,25.06,732,1572864,184512,139,7702,4513,36864,3985408,15,14,15
1780986685,24.97,94959000,23.78,739,1572864,184512,139,9093,3630,212992,71380992,15,14,15
