unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782107081,44.90,101061992,30.26,525,1572864,193536,81,0,0,12439552,155648,6,5,24
1782107084,58.80,101340568,32.24,377,1572864,194016,83,15985,57516,184221696,267759616,14,13,24
1782107086,51.45,101732288,32.24,576,1572864,194496,85,10780,47678,33873920,23834624,14,13,24
1782107089,46.07,101455852,31.42,612,1572864,194496,96,11823,9461,36548608,22536192,14,13,24
1782107091,48.74,101538972,31.42,652,1572864,194592,96,13189,30368,6889472,386314240,14,13,24
1782107093,50.56,101651868,30.66,679,1572864,194496,103,7666,15516,13787136,3715072,14,13,24
1782107095,43.54,101656052,30.66,709,1572864,194400,104,9255,6179,978944,20779008,14,13,24
1782107098,45.54,101486048,30.66,740,1572864,194112,111,13879,15687,3362816,198606848,14,13,24
1782107100,40.85,101853816,30.05,758,1572864,194208,108,17543,9903,741376,3805184,14,13,24
1782107102,39.99,101543348,30.05,786,1572864,194112,113,13610,5014,3076096,1871872,14,13,24
1782107104,42.94,101532892,29.24,810,1572864,194016,115,17062,6670,2756608,51138560,14,13,24
1782107106,41.49,101460584,29.24,823,1572864,193920,115,13383,5016,278528,18636800,14,13,24
1782107109,38.08,101437540,28.18,841,1572864,194016,120,21238,10969,61440,219860992,14,13,24
1782107111,38.07,101482200,28.18,863,1572864,194016,120,14082,6178,45056,24555520,14,13,24
1782107113,37.56,101483940,28.18,902,1572864,194208,127,15871,7227,249856,2744320,14,13,24
1782107115,36.87,101446148,27.53,924,1572864,194208,126,13751,6784,49152,5926912,14,13,24
1782107117,40.71,101449404,27.53,939,1572864,194208,132,14993,12296,176128,6434816,14,13,24
1782107119,41.97,101536636,27.57,969,1572864,194304,134,22643,10997,929792,22839296,14,13,24
1782107121,48.21,101537988,27.57,989,1572864,194592,139,13531,4727,1691648,15126528,15,14,24
1782107124,40.52,101503320,26.72,1015,1572864,194496,142,13968,9995,110592,4804608,15,14,24
1782107126,42.71,101659156,26.72,1148,1572864,194208,152,13167,6083,155648,17186816,15,14,24
1782107128,42.97,101451956,26.72,1196,1572864,194208,160,18290,7879,4833280,23146496,15,14,24
1782107130,42.90,101534852,26.02,1210,1572864,194208,164,17400,10515,5869568,27189248,15,14,24
1782107132,44.61,101488000,26.02,1226,1572864,194208,164,13620,4975,6180864,14712832,15,14,24
1782107134,43.83,101578852,25.70,1249,1572864,194208,173,14870,7401,11710464,225558528,15,14,24
1782107136,39.48,101571756,25.70,1260,1572864,194208,172,13151,5247,348160,11960320,15,14,24
1782107139,39.16,101597708,25.48,1277,1572864,194112,179,17323,8070,225280,11186176,15,14,24
1782107141,37.49,101575092,25.48,1298,1572864,194016,180,19083,8511,331776,4669440,15,14,24
1782107143,49.43,101928696,25.28,730,1572864,194784,185,13415,7129,778240,26615808,15,14,24
1782107145,46.78,101780072,25.28,744,1572864,194784,188,13644,7325,434176,5529600,15,14,24
1782107147,42.57,102023200,25.28,760,1572864,194688,185,15071,5098,0,15822848,15,14,24
1782107149,43.30,101950652,24.70,776,1572864,194688,190,19409,9041,131072,3801088,15,14,24
1782107151,40.49,101912928,24.70,789,1572864,194496,180,13312,4621,8192,23359488,15,14,24
1782107154,41.91,101920852,24.08,809,1572864,194592,188,14824,6561,0,21270528,15,14,24
1782107156,42.03,101758064,24.08,825,1572864,194592,184,14397,6286,131072,20418560,15,14,24
1782107158,43.66,101647248,24.08,841,1572864,194304,190,16303,7058,81920,11255808,15,14,24
1782107160,40.18,101542428,24.08,855,1572864,194400,182,18238,10242,0,119431168,15,14,24
1782107162,40.60,101508996,24.08,881,1572864,194304,200,14895,5478,53248,152793088,15,14,24
1782107164,43.57,101816984,23.67,904,1572864,194400,189,14695,6745,16384,24870912,15,14,24
1782107166,43.43,101521720,23.67,918,1572864,194400,193,13427,4944,0,5566464,15,14,24
1782107168,42.45,101522024,23.54,934,1572864,194496,187,20147,8838,53248,104779776,15,14,24
1782107170,40.59,101530752,23.54,951,1572864,194496,193,16386,8417,143360,21270528,15,14,24
1782107173,42.90,101692340,23.54,975,1572864,194304,193,15068,7100,0,26161152,15,14,24
1782107175,42.51,101503072,23.33,990,1572864,194304,196,13210,7325,0,1736704,15,14,24
1782107177,40.33,101507392,23.33,1007,1572864,194304,192,15056,6085,73728,7340032,15,14,24
1782107179,40.93,101612300,22.91,1024,1572864,194304,197,18965,8199,0,10248192,15,14,24
1782107181,39.68,101542876,22.91,1040,1572864,194496,186,19299,7868,290816,22941696,15,14,24
1782107184,43.39,101595924,22.51,1062,1572864,194304,192,16534,6903,110592,20332544,15,14,24
