unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782108296,34.21,102543136,18.27,918,1572864,194208,133,52,167,0,0,6,5,25
1782108298,50.16,102599328,19.93,944,1572864,194784,125,21578,79045,1347584,38084608,14,13,25
1782108300,33.83,102668796,19.93,988,1572864,194688,142,7830,4345,20480,4558848,14,13,25
1782108304,32.37,102641736,19.61,1003,1572864,194592,125,11855,7085,0,33710080,14,13,25
1782108306,33.76,102681700,19.61,1015,1572864,194496,118,7163,4448,0,8765440,14,13,25
1782108309,44.90,102669400,19.48,1035,1572864,194496,119,11959,7340,0,22753280,14,13,25
1782108311,40.46,102659708,19.48,561,1572864,194592,108,12976,8829,0,34037760,14,13,25
1782108315,34.86,102652212,21.29,577,1572864,194688,102,10808,13932,0,18268160,14,13,25
1782108317,39.53,102630536,21.29,536,1572864,194784,104,11083,32278,110592,16814080,14,13,25
1782108319,38.50,102666240,21.02,684,1572864,194688,105,11504,31043,385024,33189888,14,13,25
1782108322,40.56,102628604,21.02,679,1572864,194496,116,6634,18778,16384,5656576,14,13,25
1782108324,37.26,102577528,20.86,710,1572864,194592,112,5326,6760,16384,23687168,14,13,25
1782108326,39.22,102601364,20.86,745,1572864,194592,115,6729,7125,49152,269049856,14,13,25
1782108328,40.19,102570224,20.86,780,1572864,194496,119,11364,8783,0,17481728,14,13,25
1782108330,33.33,102583316,20.63,803,1572864,194592,124,6596,17322,4096,9326592,14,13,25
1782108333,33.22,102658552,20.63,823,1572864,194688,115,12323,15515,0,3493888,14,13,25
1782108335,35.78,102649712,20.58,845,1572864,194688,112,6583,4301,0,6049792,14,13,25
1782108337,36.75,102678984,20.58,859,1572864,194784,117,7571,5286,8192,31485952,14,13,25
1782108339,35.22,102677244,20.29,881,1572864,194976,119,17031,13057,946176,19173376,14,13,25
1782108341,36.17,102797244,20.29,897,1572864,195072,125,7406,4895,77824,22417408,14,13,25
1782108344,38.57,103233824,20.27,939,1572864,195072,132,8466,6894,1359872,22757376,14,13,25
1782108346,37.42,103333216,20.27,1000,1572864,195360,140,12039,6147,65536,30277632,14,13,25
1782108349,37.65,103697148,19.93,1024,1572864,195360,143,17162,9266,12288,22228992,14,13,25
1782108351,66.32,104119924,19.93,1041,1572864,195264,148,15994,13199,20480,11075584,14,13,25
1782108353,91.13,104231732,19.93,1058,1572864,195072,151,12341,5192,45056,243056640,14,13,25
1782108355,70.75,104520784,22.10,1077,1572864,194880,153,17495,8469,0,26075136,14,13,25
1782108358,42.95,104010996,22.10,1093,1572864,195168,157,15141,5554,8192,69144576,14,13,25
1782108360,40.58,102894308,22.33,1138,1572864,195456,173,19828,13184,114688,38133760,14,13,25
1782108362,40.80,103105556,22.33,1157,1572864,195168,177,12716,5040,159744,105476096,14,13,25
1782108364,37.77,103074272,22.06,1170,1572864,195168,163,11659,4838,299008,259215360,14,13,25
1782108367,41.77,103117268,22.06,1194,1572864,195168,170,13911,5036,36864,1466368,14,13,25
1782108369,43.39,103125116,21.50,1214,1572864,194976,174,20587,12147,12288,46194688,14,13,25
1782108371,42.00,103071172,21.50,1230,1572864,195072,182,18911,8300,36864,6782976,14,13,25
1782108374,45.35,103057548,21.38,618,1572864,195264,183,11845,7276,0,27725824,14,13,25
1782108376,44.23,103001488,21.38,634,1572864,195264,185,13071,5151,0,16568320,14,13,25
1782108378,42.53,102987964,21.38,656,1572864,195168,191,20599,9449,0,29347840,14,13,25
1782108380,46.36,103347992,21.27,676,1572864,195168,192,13602,12788,4096,209379328,14,13,25
1782108382,45.76,103282564,21.27,697,1572864,195072,197,16823,5689,462848,3989504,14,13,25
1782108385,46.18,103353676,21.32,710,1572864,195264,189,16443,5931,5849088,62107648,14,13,25
1782108388,46.70,103143208,21.32,727,1572864,195360,193,22596,9690,4628480,29036544,14,13,25
1782108390,44.70,103219804,21.22,753,1572864,195168,196,22747,13651,14098432,220745728,14,13,25
1782108392,42.40,103423360,21.22,781,1572864,195264,195,13876,5013,0,34529280,14,13,25
1782108395,42.11,103453560,21.28,798,1572864,195264,200,13322,7722,0,23097344,14,13,25
1782108398,41.16,103412192,21.28,815,1572864,195456,197,19814,8515,0,21446656,14,13,25
1782108400,41.00,102989740,21.02,843,1572864,195264,198,22192,14265,12288,32518144,14,13,25
1782108402,40.47,102960668,21.02,861,1572864,195168,203,10772,4791,4096,13934592,14,13,25
1782108405,38.80,102956784,20.86,877,1572864,195264,189,11605,7466,0,2547712,14,13,25
1782108407,40.50,102969564,20.86,893,1572864,195360,195,17637,8298,28672,237568000,14,13,25
1782108409,51.00,102941392,20.79,917,1572864,195648,191,23611,9935,4096,155619328,15,14,25
1782108412,40.45,102972292,20.79,930,1572864,195552,195,12721,4824,20480,70279168,15,14,25
1782108414,43.32,103195204,20.80,956,1572864,195456,188,13763,6356,0,10833920,15,14,25
1782108416,48.54,103181032,20.80,972,1572864,195360,192,16610,6804,8192,26652672,15,14,25
1782108418,42.64,103236188,20.82,992,1572864,195264,193,19474,9625,131072,19750912,15,14,25
1782108421,43.19,103431644,20.82,1021,1572864,195168,210,13147,11236,0,15155200,15,14,25
1782108423,41.73,103915016,20.83,1039,1572864,195072,192,19285,8909,0,3874816,15,14,25
