unix_ts,namespace,pod,cpu_m,mem_mib
1782108915,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108915,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108915,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108915,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108915,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108917,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108917,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108917,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108917,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108917,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108922,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108922,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108922,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108922,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108922,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108924,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108924,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108924,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108924,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108924,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108926,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108926,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108926,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108926,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108926,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108928,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108928,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108928,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108928,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108928,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108932,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108932,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108932,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108932,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108932,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108935,kube-system,coredns-c4dbffb5f-p9rsr,4,28
1782108935,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782108935,kube-system,metrics-server-786d997795-hcp2m,9,48
1782108935,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782108935,kube-system,traefik-9bcdbbd9-qtpjt,3,36
1782108958,gsm-1,osmo-bsc-594654bd47-ddft9,7,4
1782108958,gsm-1,osmo-bts-virtual-5f8b9b86fc-sw8wz,9,2
1782108958,gsm-1,osmo-hlr-546bdb8988-fckq5,1,2
