unix_ts,namespace,pod,cpu_m,mem_mib
1782110143,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110143,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110143,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110143,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110143,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110143,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
1782110143,gsm-1,osmo-stp-768687f494-cnb6n,1,2
1782110143,gsm-1,virtphy-858665df6d-m5jmn,8,0
1782110145,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110145,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110145,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110145,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110145,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110145,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
1782110145,gsm-1,osmo-stp-768687f494-cnb6n,1,2
1782110145,gsm-1,virtphy-858665df6d-m5jmn,8,0
1782110147,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110147,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110147,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110147,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110147,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110147,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
1782110147,gsm-1,osmo-stp-768687f494-cnb6n,1,2
1782110147,gsm-1,virtphy-858665df6d-m5jmn,8,0
1782110150,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110150,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110150,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110150,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110150,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110150,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
1782110150,gsm-1,osmo-stp-768687f494-cnb6n,1,2
1782110150,gsm-1,virtphy-858665df6d-m5jmn,8,0
1782110152,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110152,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110152,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110152,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110152,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110152,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
1782110152,gsm-1,osmo-stp-768687f494-cnb6n,1,2
1782110152,gsm-1,virtphy-858665df6d-m5jmn,8,0
1782110154,gsm-1,msc-test-stub-5b875d749d-9f4rq,16,16
1782110154,gsm-1,osmo-bsc-594654bd47-nbzv6,5,5
1782110154,gsm-1,osmo-bts-virtual-5f8b9b86fc-7vzx5,13,5
1782110154,gsm-1,osmo-hlr-546bdb8988-9b4tn,1,2
1782110154,gsm-1,osmo-mgw-8c8fc67d6-vn9j4,1,2
1782110154,gsm-1,osmo-mobile-947867b85-7rhh4,21,24
