cpu_limit_m,run_dir,duration_s,verdict
0,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-054439-N1,412.840,PASS
50,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-055305-N1,540.771,FAIL
75,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-060455-N1,449.211,PASS
100,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-061514-N1,480.597,PASS
125,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-062600-N1,431.545,PASS
150,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-063511-N1,414.742,PASS
175,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-064407-N1,414.350,PASS
200,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-065301-N1,414.372,PASS
225,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-070156-N1,414.082,PASS
250,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-071040-N1,414.313,PASS
275,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-071925-N1,414.604,PASS
300,/work/gouri.naik/sampige-scaling-intern-2026/results/week05/cores-proof-sweep/run20260622-072804-N1,412.051,PASS
