unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782198789,45.71,102505420,13.99,498,1572864,200448,67,0,0,7053312,192512,6,5,26
1782198792,65.58,102843836,13.99,561,1572864,201024,71,41440,409635,49336320,73441280,25,23,26
1782198795,75.40,102961724,22.08,618,1572864,201312,71,20154,120777,35151872,91312128,41,37,26
1782198797,75.81,103292324,28.00,800,1572864,202368,74,23984,138004,36610048,59543552,52,51,26
1782198801,78.16,103993684,28.00,1026,1572864,202944,78,35540,142642,14991360,80498688,70,66,26
1782198804,75.13,103790252,34.97,1284,1572864,203520,92,37126,166815,1122304,104849408,70,69,26
1782198806,79.40,104029284,34.97,1453,1572864,203712,106,31265,79259,3088384,29974528,70,69,26
1782198809,41.36,104219092,34.49,1588,1572864,203712,130,48122,73879,860160,33030144,70,69,26
1782198812,69.42,104772176,33.01,1768,1572864,203520,159,67496,46408,176128,30109696,70,69,26
1782198814,69.26,104866224,33.01,1880,1572864,203616,193,54128,22713,421888,273453056,70,69,26
1782198816,54.38,104441296,33.01,1977,1572864,203520,215,54767,27154,430080,43675648,70,69,26
1782198819,39.95,104655576,31.89,2056,1572864,203520,240,63669,26625,266240,19419136,70,69,26
1782198821,43.12,104846444,31.89,2166,1572864,204480,270,73859,23532,9306112,12824576,70,69,26
1782198824,43.69,104714172,31.50,2239,1572864,203712,300,62864,31953,35913728,42983424,70,69,26
1782198826,37.55,104689840,31.50,2301,1572864,203520,317,71375,35514,1011712,21921792,70,69,26
1782198829,38.09,104821548,29.77,2471,1572864,203328,353,88626,30406,593920,24457216,70,69,26
1782198832,71.67,105438540,30.59,2675,1572864,203520,398,92705,33087,1171456,23269376,74,72,26
1782198835,81.44,105567496,30.59,2806,1572864,204288,436,82384,47835,999424,32792576,76,75,26
1782198837,59.51,105791076,29.42,2998,1572864,204480,466,74611,29659,3764224,15757312,76,75,26
1782198840,64.82,105803172,29.42,3147,1572864,204288,496,74002,32320,9924608,254013440,77,76,26
1782198842,55.33,106208704,28.75,3282,1572864,204768,521,69773,22761,14532608,22122496,77,76,26
1782198845,41.69,106666512,28.75,3359,1572864,204864,545,67528,19094,540672,30990336,78,77,26
1782198847,69.95,107187612,27.57,3468,1572864,205536,568,70083,20994,430080,7929856,78,77,26
1782198850,80.02,107861624,27.57,3551,1572864,205632,576,80193,26329,135168,34406400,78,77,26
1782198852,99.00,108295092,30.33,3672,1572864,205632,608,69153,21255,544768,13041664,78,77,26
1782198854,70.92,108723832,30.33,3747,1572864,205536,626,69245,25526,229376,8097792,78,77,26
1782198857,42.20,109526208,28.70,3836,1572864,205728,658,66393,17180,253952,23859200,78,77,26
1782198859,44.04,110132352,28.70,3916,1572864,205728,684,73468,21581,0,37195776,78,77,26
1782198861,56.30,111127916,28.70,4005,1572864,205824,708,48891,20937,0,26210304,78,77,26
1782198864,90.18,112700004,32.01,4081,1572864,205632,720,74292,18398,90112,15159296,78,77,26
1782198866,99.06,112455876,32.01,4163,1572864,205920,726,77212,20227,733184,21942272,78,77,26
1782198869,97.64,112070224,36.49,4255,1572864,206112,753,81439,31305,331776,30072832,78,77,26
1782198871,84.60,112158508,36.49,4343,1572864,206208,747,74031,19344,315392,25653248,78,77,26
1782198873,50.96,112232780,35.49,1732,1572864,206208,722,69268,18445,0,10014720,78,77,26
1782198875,44.44,112185816,35.49,1809,1572864,205920,748,66041,16113,49152,15613952,78,77,26
1782198877,45.80,112634064,34.49,1886,1572864,205824,726,70966,18519,49152,36003840,78,77,26
1782198880,80.19,113906124,34.49,1975,1572864,205632,754,73967,22337,77824,25694208,78,77,26
1782198882,94.03,115513152,36.77,2070,1572864,205440,729,72690,20517,286720,28917760,78,77,26
1782198884,84.82,115198236,36.77,2140,1572864,205248,748,61662,22749,204800,18399232,78,77,26
1782198886,88.34,114237880,37.67,2236,1572864,205152,725,82009,20770,0,19951616,78,77,26
1782198889,48.84,113994844,37.67,2313,1572864,204960,746,75336,18796,512000,46264320,78,77,26
1782198891,49.29,110214260,37.67,2519,1572864,205056,728,74848,22319,2535424,28205056,78,77,26
1782198893,49.47,109707736,36.42,2598,1572864,205344,758,69451,14861,991232,49156096,78,77,26
1782198895,48.14,109752104,36.42,2670,1572864,205248,729,68525,18162,475136,106684416,78,77,26
1782198898,62.03,110319396,35.10,2750,1572864,205344,704,68783,16486,3919872,33345536,78,77,26
1782198900,82.51,111482028,35.10,2865,1572864,205248,734,104584,60429,413696,207876096,78,77,26
1782198902,70.29,110784968,34.85,2944,1572864,205248,703,70414,15358,40960,36917248,78,77,26
1782198905,64.69,110004520,34.85,3036,1572864,205536,736,68821,18578,196608,35667968,78,77,26
1782198907,44.91,109824304,33.18,3115,1572864,205344,706,69007,16157,151552,16867328,78,77,26
1782198909,45.21,109765296,33.18,3201,1572864,205728,739,71771,21104,122880,34353152,78,77,26
1782198912,50.09,109646320,35.17,3288,1572864,205632,734,101998,24493,339968,49680384,78,77,26
1782198914,89.79,110792056,35.17,3367,1572864,205536,710,73189,25960,16384,3317760,78,77,26
1782198916,68.62,110548608,35.17,3451,1572864,205632,733,71697,16658,135168,69787648,78,77,26
1782198918,77.92,109903076,35.48,3526,1572864,205536,707,79013,21832,24576,18014208,78,77,26
1782198921,47.12,109828664,35.48,3616,1572864,205536,744,65656,18969,0,40644608,78,77,26
1782198923,48.41,109733264,33.76,3720,1572864,205248,722,98970,29404,921600,54317056,78,77,26
1782198926,88.34,109709664,33.76,3809,1572864,204960,752,75015,35248,1961984,24993792,78,77,26
