unix_ts,namespace,pod,cpu_m,mem_mib
1782198824,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,11,16
1782198824,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,5,5
1782198824,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,8,0
1782198824,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
1782198824,tc-26-7-2-2-3,osmo-mgw-8c8fc67d6-cr4gt,1,2
1782198824,tc-26-7-2-2-3,osmo-mobile-65b5958d7b-6fmmn,21,32
1782198824,tc-26-7-2-2-3,osmo-stp-768687f494-cqr4b,1,2
1782198824,tc-26-7-2-2-3,virtphy-669796d86c-s5tst,9,1
1782198826,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,11,16
1782198826,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,5,5
1782198826,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,8,0
1782198826,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
1782198826,tc-26-7-2-2-3,osmo-mgw-8c8fc67d6-cr4gt,1,2
1782198826,tc-26-7-2-2-3,osmo-mobile-65b5958d7b-6fmmn,21,32
1782198826,tc-26-7-2-2-3,osmo-stp-768687f494-cqr4b,1,2
1782198826,tc-26-7-2-2-3,virtphy-669796d86c-s5tst,9,1
1782198829,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,11,16
1782198829,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,5,5
1782198829,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,8,0
1782198829,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
1782198829,tc-26-7-2-2-3,osmo-mgw-8c8fc67d6-cr4gt,1,2
1782198829,tc-26-7-2-2-3,osmo-mobile-65b5958d7b-6fmmn,21,32
1782198829,tc-26-7-2-2-3,osmo-stp-768687f494-cqr4b,1,2
1782198829,tc-26-7-2-2-3,virtphy-669796d86c-s5tst,9,1
1782198832,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,11,16
1782198832,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,5,5
1782198832,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,8,0
1782198832,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
1782198832,tc-26-7-2-2-3,osmo-mgw-8c8fc67d6-cr4gt,1,2
1782198832,tc-26-7-2-2-3,osmo-mobile-65b5958d7b-6fmmn,21,32
1782198832,tc-26-7-2-2-3,osmo-stp-768687f494-cqr4b,1,2
1782198832,tc-26-7-2-2-3,virtphy-669796d86c-s5tst,9,1
1782198835,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,11,16
1782198835,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,5,5
1782198835,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,8,0
1782198835,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
1782198835,tc-26-7-2-2-3,osmo-mgw-8c8fc67d6-cr4gt,1,2
1782198835,tc-26-7-2-2-3,osmo-mobile-65b5958d7b-6fmmn,21,32
1782198835,tc-26-7-2-2-3,osmo-stp-768687f494-cqr4b,1,2
1782198835,tc-26-7-2-2-3,virtphy-669796d86c-s5tst,9,1
1782198837,tc-26-7-2-2-3,msc-test-stub-5b875d749d-mzzc9,8,16
1782198837,tc-26-7-2-2-3,osmo-bsc-594654bd47-mz86r,1,5
1782198837,tc-26-7-2-2-3,osmo-bts-virtual-5f8b9b86fc-r46vl,21,5
1782198837,tc-26-7-2-2-3,osmo-hlr-546bdb8988-btjqg,1,2
