unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782199016,96.88,105693904,61.78,1880,1572864,203424,213,335,0,0,7016448,57,56,26
1782199022,86.47,105804020,65.72,2100,1572864,204096,209,60389,166216,220073984,76828672,65,64,26
1782199024,85.47,106149808,67.10,2076,1572864,203808,231,88170,119728,267001856,103333888,65,64,26
1782199027,85.73,106420780,67.10,2176,1572864,203424,220,47577,47721,0,23953408,62,61,26
1782199029,70.36,106517000,70.06,2150,1572864,203616,238,52485,39930,45056,24764416,64,61,26
1782199032,73.69,106841292,66.93,2257,1572864,204096,263,65172,54255,229376,69373952,64,63,26
1782199034,41.91,107011428,66.93,2335,1572864,204096,274,44454,27664,24576,23396352,64,63,26
1782199036,40.82,107491476,66.93,2471,1572864,204096,295,56335,13684,90112,16371712,64,63,26
1782199038,41.24,107929076,63.25,2549,1572864,204288,307,64051,26598,20480,18898944,64,63,26
1782199042,69.90,108335292,63.25,2640,1572864,204096,335,67720,24567,4096,32587776,65,64,26
1782199045,87.51,108807480,60.27,2760,1572864,204288,349,90068,38267,20480,39710720,65,64,26
1782199049,80.21,109089820,57.92,2841,1572864,204288,349,77423,72012,122880,41451520,73,72,26
1782199052,85.89,109529892,57.92,1746,1572864,205152,386,112686,89612,4096,90546176,75,74,26
1782199055,86.38,109894064,57.53,2018,1572864,205344,414,72857,38436,12288,18628608,76,75,26
1782199058,85.26,110592612,59.25,1818,1572864,205440,437,81827,56110,225280,510615552,76,75,26
1782199061,95.41,110869352,59.25,2062,1572864,205632,470,79597,33137,368640,28303360,77,76,23
1782199063,73.19,110048456,57.07,2156,1572864,205632,477,63059,23292,20480,41381888,77,76,23
1782199066,64.80,109499184,57.07,2270,1572864,205152,494,72810,26946,32768,13463552,77,76,23
1782199068,41.33,109294444,54.66,2369,1572864,205056,532,70764,20777,843776,23547904,77,76,23
1782199070,40.52,109049980,54.66,2472,1572864,205248,547,71176,22817,0,19709952,77,76,23
1782199072,38.09,109062760,51.48,2545,1572864,205344,565,67702,15541,0,59408384,77,76,23
1782199075,56.67,109328304,51.48,2623,1572864,205248,570,64697,15862,0,12460032,77,76,23
1782199077,80.47,110039164,48.80,2707,1572864,205056,593,69074,16648,12288,31977472,77,76,23
1782199079,64.38,109070212,48.80,2799,1572864,205152,610,79027,32423,20480,13799424,77,76,23
1782199082,51.68,108881188,48.80,2888,1572864,205152,639,76204,22722,0,23642112,77,76,23
1782199084,36.69,108758144,46.89,2994,1572864,205152,647,82752,28857,0,35241984,77,76,23
1782199087,37.84,108624700,43.94,3063,1572864,205152,642,64345,12120,4096,3948544,77,76,23
1782199090,71.30,109418056,43.94,3166,1572864,204960,682,76298,25646,151552,39735296,78,76,23
1782199092,89.32,109681708,44.27,3277,1572864,205152,681,104656,29130,253952,23592960,78,77,23
