unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782282971,61.29,106807808,8.00,610,1572864,200256,85,0,0,978944,1388544,6,5,21
1782282975,74.59,107323672,25.37,689,1572864,201600,91,45028,608819,59101184,81465344,27,25,21
1782282977,73.85,107346936,25.37,560,1572864,202272,89,20895,106781,2809856,50176000,41,39,21
1782282980,71.75,107604632,32.31,764,1572864,202656,91,33627,134464,37109760,59678720,54,51,21
1782282984,79.70,108024284,32.31,992,1572864,203712,96,32472,141129,11603968,71032832,71,70,21
1782282987,70.80,108210396,37.25,1249,1572864,204768,108,37969,170261,1536000,84127744,90,85,21
1782282991,77.65,108609312,43.40,1533,1572864,205536,119,57980,209977,765952,70250496,102,101,21
1782282994,75.60,108816788,43.40,1838,1572864,205920,151,66565,179636,434176,63614976,102,101,21
1782282996,75.31,108993376,43.61,2050,1572864,206400,186,56253,91081,471040,12689408,102,101,21
1782282999,46.02,109188412,42.84,2284,1572864,206112,218,70434,85071,520192,19673088,102,101,21
1782283001,80.67,109258988,42.84,2466,1572864,206016,246,76865,42703,3006464,12840960,102,101,21
1782283003,78.94,109210868,42.84,2604,1572864,206112,278,76783,36094,6012928,4206592,102,101,21
1782283005,65.43,109353456,42.85,2744,1572864,206112,311,103854,64480,53248,18558976,102,101,21
1782283008,30.96,109200888,42.85,2842,1572864,205920,348,99624,30686,0,401408,102,101,21
1782283011,34.80,109413968,40.86,2947,1572864,205920,377,85507,39872,49152,6991872,102,101,21
1782283014,35.35,109373336,38.63,3117,1572864,206112,431,166351,52031,782336,29437952,104,103,21
1782283017,71.91,109563872,38.63,3289,1572864,206016,471,122325,49921,204800,20774912,105,104,21
1782283019,82.85,109351076,38.50,3429,1572864,205728,505,123990,57707,442368,18108416,106,105,21
1782283022,71.68,109506292,38.50,3638,1572864,206304,544,107920,35659,7340032,28794880,108,107,21
1782283025,87.25,109383152,44.30,3858,1572864,206976,589,102600,57732,7647232,31096832,111,110,21
1782283029,60.35,109486196,44.30,4110,1572864,207168,645,140444,39671,13565952,31514624,113,112,21
1782283031,33.88,109422552,41.32,4368,1572864,207552,697,118609,35711,102400,12800000,114,113,21
1782283034,31.98,109572820,41.32,4489,1572864,207744,738,98448,29754,180224,17739776,114,113,21
1782283036,32.48,109497692,40.81,4624,1572864,207456,757,104541,39749,81920,1765376,114,113,21
1782283038,38.38,109583720,40.81,4758,1572864,207456,811,100645,27543,12288,5885952,114,113,21
1782283041,39.03,109817992,39.14,4880,1572864,207360,855,94949,26406,16384,21311488,114,113,21
1782283044,33.94,109630472,39.14,2098,1572864,207552,897,95397,26742,53248,34283520,114,113,21
1782283046,34.95,109561212,36.57,2272,1572864,207552,938,120921,36575,16384,18706432,114,113,21
