unix_ts,namespace,pod,cpu_m,mem_mib
1782484396,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484396,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484396,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484396,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484396,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484396,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484399,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484399,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484399,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484399,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484399,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484399,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484402,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484402,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484402,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484402,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484402,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484402,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484404,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484404,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484404,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484404,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484404,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484404,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484407,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484407,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484407,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484407,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484407,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484407,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484410,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484410,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484410,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484410,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484410,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484410,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484410,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484410,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484412,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484412,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484412,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484412,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484412,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484412,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484412,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484412,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484414,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484414,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484414,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484414,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484414,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484414,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484414,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484414,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484417,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484417,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484417,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484417,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484417,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484417,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484417,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484417,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484419,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484419,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484419,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484419,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484419,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484419,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484419,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484419,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484421,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484421,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484421,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484421,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484421,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484421,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484421,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484421,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484425,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484425,gsm-3,osmo-bsc-594654bd47-z9njf,1,5
1782484425,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,30,5
1782484425,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
