unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782484773,34.88,112203120,66.24,2147,1572864,220320,421,134,191,0,0,31,30,24
1782484778,68.91,112135872,62.38,2261,1572864,220320,399,61582,114158,16384,46358528,37,36,24
1782484780,45.82,112226040,58.82,2137,1572864,220032,368,33966,18518,4096,6189056,37,36,24
1782484783,56.15,112166028,58.82,2045,1572864,219456,348,29643,41176,94208,33955840,37,36,24
1782484785,63.22,112448440,58.12,2151,1572864,219552,363,30117,88556,24576,18984960,45,44,24
1782484792,86.79,112360072,62.27,2329,1572864,220416,333,77169,144030,8192,105148416,61,60,24
1782484795,82.39,112800884,66.09,2513,1572864,221088,319,46454,138324,163840,182239232,62,61,24
1782484798,92.21,112569408,66.09,2164,1572864,221568,331,60774,2843849,20480,370802688,59,58,24
1782484801,87.32,112593868,67.61,2265,1572864,221472,311,36345,29914,81920,12230656,55,54,24
1782484803,84.47,112344452,67.61,2259,1572864,220896,305,31071,60168,36864,28073984,50,49,24
1782484805,50.96,112357728,64.20,2377,1572864,221088,318,41475,32851,139264,18460672,50,49,24
1782484807,40.16,112331284,64.20,2451,1572864,220992,312,36739,19758,0,5931008,50,49,24
1782484810,42.09,112343332,60.74,2515,1572864,220800,333,43290,24262,0,13017088,50,49,24
1782484812,41.62,112321756,60.74,2560,1572864,220704,320,35451,10726,0,8642560,50,49,24
1782484814,38.82,112346540,58.04,2632,1572864,220512,314,48450,19744,0,4562944,50,49,24
1782484817,62.97,112728272,58.04,2700,1572864,220704,334,46555,499119,0,22937600,51,50,24
1782484822,80.46,112880124,58.99,2798,1572864,221088,337,71198,2241608,0,46870528,59,58,24
1782484825,84.34,112747296,58.35,2063,1572864,221280,327,90401,63484,114688,220962816,59,58,24
1782484828,57.79,112615412,58.35,1926,1572864,221184,340,62203,73808,4096,21221376,59,58,24
1782484833,89.79,112699760,65.53,2120,1572864,221376,357,94348,87577,16384,28733440,65,64,24
1782484836,84.21,112720256,72.70,1909,1572864,221472,361,70903,2716815,4096,27934720,66,65,24
1782484838,92.39,112707120,72.70,2015,1572864,221472,380,78462,2689502,4096,41955328,67,66,24
1782484841,85.83,112723472,70.32,2170,1572864,221376,395,74045,2696379,0,16424960,67,66,24
1782484843,66.57,112715304,70.32,2326,1572864,221184,417,51966,27438,827392,4423680,67,66,24
1782484846,47.07,112689100,66.45,2454,1572864,221664,418,61652,35243,573440,37634048,67,66,24
1782484852,83.29,112909264,70.26,2658,1572864,222912,438,138020,97598,8192,267821056,75,74,24
1782484855,77.61,112858080,68.71,2157,1572864,222720,468,87998,71757,81920,6180864,75,74,24
1782484857,46.62,112813324,68.71,2249,1572864,222528,473,57892,36552,0,48140288,75,74,24
1782484859,74.46,112899376,66.58,2208,1572864,222336,497,63683,34581,0,40009728,75,74,24
1782484862,79.74,112955568,66.58,2307,1572864,222144,506,69149,34772,16384,11771904,76,75,24
1782484865,84.57,112913004,63.25,2210,1572864,222336,508,94606,2705304,0,16351232,76,75,24
1782484868,59.92,112895112,63.25,2346,1572864,222240,548,78401,33344,0,520192,76,75,24
1782484871,55.82,112885792,59.94,2486,1572864,222240,561,77572,122272,45056,42876928,74,75,24
1782484874,93.10,112896956,59.94,2218,1572864,222528,549,93024,49052,393216,4444160,73,72,24
1782484878,78.84,112786472,58.59,2359,1572864,222816,544,99364,2687983,0,22704128,71,70,24
1782484880,42.78,112812680,55.41,2471,1572864,222624,585,78804,28420,139264,40267776,71,70,24
1782484882,50.34,113309324,55.41,2590,1572864,222624,576,63104,16603,20480,10633216,71,70,24
1782484884,49.86,113713844,52.42,2653,1572864,222720,568,59181,18883,32768,242659328,71,70,24
1782484887,45.29,113439972,52.42,2751,1572864,222816,600,63974,18903,544768,31154176,71,70,24
1782484890,47.75,113426440,49.90,2855,1572864,222432,589,66308,29163,0,43548672,72,71,24
1782484892,71.64,113342968,49.90,2963,1572864,222720,614,117095,2760492,0,266375168,72,71,24
1782484895,84.05,113307116,49.67,2097,1572864,222720,600,71299,21335,53248,8450048,72,71,24
1782484897,47.46,113181884,49.67,2197,1572864,222528,605,69225,21327,0,2662400,72,71,24
1782484900,44.86,112902920,47.13,2318,1572864,222528,637,68919,20982,20480,1933312,72,71,24
1782484902,81.74,112839760,47.13,2421,1572864,221952,621,78403,28800,0,30973952,69,68,24
1782484904,65.89,112797068,44.80,2482,1572864,221760,630,64492,28060,16384,9494528,69,68,24
1782484907,59.40,112771476,44.80,2587,1572864,221952,625,70169,22385,4096,21942272,69,68,24
1782484909,46.00,112734836,42.73,2692,1572864,221664,619,70708,23159,0,5812224,69,68,24
1782484912,47.92,112873536,42.73,2779,1572864,221664,635,71424,19814,4096,176377856,69,68,24
1782484914,79.41,112840476,42.60,2176,1572864,221472,620,66594,123571,4096,30216192,64,63,24
1782484917,55.01,112886660,42.60,2261,1572864,221376,644,60596,17407,0,16166912,64,63,24
1782484919,46.93,113183836,40.39,2348,1572864,221472,622,60877,30158,0,15429632,71,64,24
1782484924,85.99,112920204,43.88,2487,1572864,222048,606,105598,83011,45056,119758848,71,70,24
1782484927,85.52,112894912,43.88,2225,1572864,222624,603,67523,68833,8192,225452032,71,70,24
