unix_ts,namespace,pod,cpu_m,mem_mib
1782484379,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782484379,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1782484379,kube-system,metrics-server-786d997795-hcp2m,6,43
1782484379,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484379,kube-system,traefik-9bcdbbd9-qtpjt,1,34
1782484382,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782484382,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1782484382,kube-system,metrics-server-786d997795-hcp2m,6,43
1782484382,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484382,kube-system,traefik-9bcdbbd9-qtpjt,1,34
1782484385,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782484385,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1782484385,kube-system,metrics-server-786d997795-hcp2m,6,43
1782484385,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484385,kube-system,traefik-9bcdbbd9-qtpjt,1,34
1782484388,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782484388,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1782484388,kube-system,metrics-server-786d997795-hcp2m,6,43
1782484388,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484388,kube-system,traefik-9bcdbbd9-qtpjt,1,34
1782484392,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782484392,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1782484392,kube-system,metrics-server-786d997795-hcp2m,6,43
1782484392,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484392,kube-system,traefik-9bcdbbd9-qtpjt,1,34
1782484395,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484395,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484395,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484395,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484395,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484395,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484395,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484395,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484395,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484395,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484395,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484395,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484395,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484395,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484395,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484395,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484395,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484395,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484395,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484395,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484397,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484397,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484397,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484397,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484397,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484397,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484397,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484397,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484397,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484397,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484397,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484397,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484397,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484397,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484397,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484397,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484397,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484397,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484397,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484397,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484400,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484400,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484400,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484400,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484400,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484400,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484400,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484400,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484400,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484400,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484400,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484400,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484400,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484400,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484400,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484400,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484400,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484400,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484400,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484400,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484402,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484402,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484402,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484402,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484402,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484402,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484402,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484402,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484402,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484402,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484402,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484402,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484402,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484402,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484402,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484402,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484402,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484402,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484402,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484402,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484404,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484404,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484404,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484404,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484404,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484404,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484404,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484404,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484404,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484404,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484404,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484404,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484404,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484404,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484404,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484404,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484404,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484404,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484404,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484404,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484407,gsm-2,osmo-hlr-546bdb8988-vjr2j,6,2
1782484407,gsm-2,osmo-mobile-6b5b79f646-n9cns,26,32
1782484407,gsm-3,osmo-bsc-594654bd47-z9njf,7,5
1782484407,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,9,0
1782484407,gsm-3,osmo-hlr-546bdb8988-sd2mj,6,2
1782484407,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484407,gsm-3,osmo-mobile-856799fbbc-xdnmc,23,32
1782484407,gsm-3,osmo-stp-768687f494-mvmnd,6,2
1782484407,gsm-4,osmo-bsc-594654bd47-rgqj6,8,5
1782484407,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,9,0
1782484407,gsm-4,osmo-hlr-546bdb8988-tt5z9,5,2
1782484407,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,5,2
1782484407,gsm-4,osmo-mobile-74f4b9d576-zj7vn,23,32
1782484407,gsm-4,osmo-stp-768687f494-b48nx,5,2
1782484407,gsm-4,virtphy-7cb5464db9-b2tb8,9,1
1782484407,kube-system,coredns-c4dbffb5f-p9rsr,5,29
1782484407,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,2,15
1782484407,kube-system,metrics-server-786d997795-hcp2m,10,43
1782484407,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782484407,kube-system,traefik-9bcdbbd9-qtpjt,7,34
1782484410,gsm-1,msc-test-stub-5b875d749d-94gng,9,16
1782484410,gsm-1,osmo-bsc-594654bd47-rbr87,1,5
1782484410,gsm-1,osmo-bts-virtual-5f8b9b86fc-hs2cv,21,5
1782484410,gsm-1,osmo-hlr-546bdb8988-t6kc7,1,2
1782484410,gsm-1,osmo-mgw-8c8fc67d6-rfb9v,1,2
1782484410,gsm-1,osmo-mobile-947867b85-79tkt,3,32
1782484410,gsm-1,osmo-stp-768687f494-z77fm,1,2
1782484410,gsm-1,virtphy-858665df6d-6xbbt,6,1
1782484410,gsm-2,msc-test-stub-5b875d749d-tbl64,10,16
1782484410,gsm-2,osmo-bsc-594654bd47-4r9rs,1,5
1782484410,gsm-2,osmo-bts-virtual-5f8b9b86fc-gvsv4,22,5
1782484410,gsm-2,osmo-hlr-546bdb8988-vjr2j,1,2
1782484410,gsm-2,osmo-mgw-8c8fc67d6-znvgk,1,2
1782484410,gsm-2,osmo-mobile-6b5b79f646-n9cns,3,32
1782484410,gsm-2,osmo-stp-768687f494-bnklf,1,2
1782484410,gsm-2,virtphy-6458f9f999-flhsp,6,1
1782484410,gsm-3,msc-test-stub-5b875d749d-q6572,1,16
1782484410,gsm-3,osmo-bsc-594654bd47-z9njf,6,5
1782484410,gsm-3,osmo-bts-virtual-5f8b9b86fc-6pfpb,12,5
1782484410,gsm-3,osmo-hlr-546bdb8988-sd2mj,1,2
1782484410,gsm-3,osmo-mgw-8c8fc67d6-ppfd6,4,2
1782484410,gsm-3,osmo-mobile-856799fbbc-xdnmc,3,32
1782484410,gsm-3,osmo-stp-768687f494-mvmnd,1,2
1782484410,gsm-3,virtphy-7c75c79c86-krxl2,8,1
1782484410,gsm-4,msc-test-stub-5b875d749d-nqj6m,1,16
1782484410,gsm-4,osmo-bsc-594654bd47-rgqj6,1,5
1782484410,gsm-4,osmo-bts-virtual-5f8b9b86fc-k86tf,25,5
1782484410,gsm-4,osmo-hlr-546bdb8988-tt5z9,1,2
1782484410,gsm-4,osmo-mgw-8c8fc67d6-vpnjb,1,2
1782484410,gsm-4,osmo-mobile-74f4b9d576-zj7vn,3,32
1782484410,gsm-4,osmo-stp-768687f494-b48nx,1,2
1782484410,gsm-4,virtphy-7cb5464db9-b2tb8,6,1
1782484410,gsm-5,msc-test-stub-5b875d749d-wwcsd,11,16
1782484410,gsm-5,osmo-bsc-594654bd47-cx8bg,4,5
1782484410,gsm-5,osmo-bts-virtual-5f8b9b86fc-gd8cf,14,5
1782484410,gsm-5,osmo-hlr-546bdb8988-zbzgs,1,2
1782484410,gsm-5,osmo-mgw-8c8fc67d6-ds6gl,1,2
1782484410,gsm-5,osmo-mobile-59d8d55bb5-rlpdz,4,32
1782484410,gsm-5,osmo-stp-768687f494-ld9ss,1,2
1782484410,gsm-5,virtphy-b55647b48-m7wjs,8,1
1782484410,gsm-6,osmo-bsc-594654bd47-cvthh,3,5
1782484410,gsm-6,osmo-bts-virtual-5f8b9b86fc-pbx9z,5,0
1782484410,gsm-6,osmo-hlr-546bdb8988-hv2wr,5,2
1782484410,gsm-6,osmo-mgw-8c8fc67d6-nksvx,5,2
1782484410,gsm-6,osmo-mobile-7b8d4df666-mc8px,20,32
1782484410,gsm-6,osmo-stp-768687f494-fmwm5,1,2
1782484410,gsm-6,virtphy-65fcd75d7-vh44s,9,1
1782484410,gsm-7,osmo-bsc-594654bd47-nhf6v,3,5
1782484410,gsm-7,osmo-bts-virtual-5f8b9b86fc-fwkns,10,5
1782484410,gsm-7,osmo-hlr-546bdb8988-jdqcz,1,2
1782484410,gsm-7,osmo-mgw-8c8fc67d6-zdqxh,1,2
1782484410,gsm-7,osmo-mobile-6865667c79-lvrz9,15,33
