unix_ts,namespace,pod,cpu_m,mem_mib
1782711778,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711778,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711778,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711778,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711778,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711778,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711778,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711778,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711778,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711780,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711780,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711780,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711780,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711780,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711780,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711780,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711780,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711780,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711782,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711782,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711782,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711782,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711782,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711782,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711782,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711782,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711782,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711785,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711785,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711785,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711785,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711785,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711785,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711785,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711785,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711785,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711787,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711787,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711787,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711787,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711787,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711787,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711787,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711787,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711787,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711789,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711789,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711789,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711789,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711789,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711789,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711789,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711789,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711789,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711791,gsm-2,bsc-stub-68d675844d-m97qk,4,21
1782711791,gsm-2,osmo-bsc-594654bd47-hml2z,4,5
1782711791,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,16,5
1782711791,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,15,5
1782711791,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711791,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711791,gsm-2,osmo-mobile-6b5b79f646-tbdcz,5,32
1782711791,gsm-2,osmo-stp-768687f494-5667c,5,2
1782711791,gsm-2,virtphy-6458f9f999-8szj4,6,1
1782711794,gsm-2,bsc-stub-68d675844d-m97qk,2,21
1782711794,gsm-2,msc-test-stub-5b875d749d-84tqt,1,16
1782711794,gsm-2,osmo-bsc-594654bd47-hml2z,1,5
1782711794,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,24,5
1782711794,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,23,5
1782711794,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711794,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711794,gsm-2,osmo-mobile-6b5b79f646-tbdcz,3,32
1782711794,gsm-2,osmo-stp-768687f494-5667c,1,2
1782711794,gsm-2,virtphy-6458f9f999-8szj4,7,1
1782711796,gsm-2,bsc-stub-68d675844d-m97qk,2,21
1782711796,gsm-2,msc-test-stub-5b875d749d-84tqt,1,16
1782711796,gsm-2,osmo-bsc-594654bd47-hml2z,1,5
1782711796,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,24,5
1782711796,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,23,5
1782711796,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711796,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711796,gsm-2,osmo-mobile-6b5b79f646-tbdcz,3,32
1782711796,gsm-2,osmo-stp-768687f494-5667c,1,2
1782711796,gsm-2,virtphy-6458f9f999-8szj4,7,1
1782711799,gsm-2,bsc-stub-68d675844d-m97qk,2,21
1782711799,gsm-2,msc-test-stub-5b875d749d-84tqt,1,16
1782711799,gsm-2,osmo-bsc-594654bd47-hml2z,1,5
1782711799,gsm-2,osmo-bts-virtual-6f6bd7c469-n85cp,24,5
1782711799,gsm-2,osmo-bts-virtual-n56-7c5589df67-7hd5d,23,5
1782711799,gsm-2,osmo-hlr-546bdb8988-p4jxm,1,2
1782711799,gsm-2,osmo-mgw-8c8fc67d6-m8tph,1,2
1782711799,gsm-2,osmo-mobile-6b5b79f646-tbdcz,3,32
1782711799,gsm-2,osmo-stp-768687f494-5667c,1,2
