unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782712091,77.14,115183768,35.82,1364,1572864,216288,141,52,0,0,69632,16,15,27
1782712094,51.05,115164872,35.82,1382,1572864,216768,124,27001,66465,3813376,43859968,26,25,27
1782712096,44.48,115255464,36.39,1264,1572864,216768,129,22316,64220,1744896,36515840,26,25,27
1782712098,23.23,115219812,36.39,1318,1572864,216576,114,23216,12032,28672,4173824,26,25,27
1782712101,34.86,115204236,34.28,1243,1572864,216672,121,22959,40015,0,12476416,26,25,27
1782712103,38.13,115304624,34.28,1275,1572864,216576,126,29685,20730,2854912,26480640,26,25,27
1782712106,24.84,115208920,32.58,1303,1572864,216288,131,23580,8237,290816,11935744,26,25,27
1782712108,26.37,115159540,32.58,1325,1572864,216192,138,30565,20102,4096,60592128,26,25,27
1782712111,23.36,115175164,31.33,1348,1572864,216384,140,27341,8639,8192,4755456,26,25,27
1782712113,22.77,115163960,31.33,1382,1572864,216288,153,25872,8792,1568768,6037504,26,25,27
1782712115,22.53,115112580,29.46,1409,1572864,216192,156,33281,10363,4096,4952064,26,25,27
1782712118,26.16,115327436,29.46,1430,1572864,216384,158,26723,6883,40960,1949696,26,25,27
1782712120,25.97,115507368,27.82,1453,1572864,216288,160,32987,11674,0,2625536,26,25,27
1782712122,24.11,115515916,27.82,1483,1572864,216192,172,27436,9170,0,14397440,26,25,27
1782712124,24.36,115470192,27.82,1517,1572864,216192,180,27218,12294,0,41902080,26,25,27
1782712126,23.10,115441972,26.39,1535,1572864,216096,184,27024,12799,0,4452352,26,25,27
1782712129,22.40,115319760,26.39,1557,1572864,216576,191,31657,10862,0,10911744,26,25,27
1782712131,23.00,115352068,25.40,830,1572864,216576,193,28748,10643,49152,5443584,26,25,27
1782712133,22.94,115383684,25.40,860,1572864,216672,206,26544,8776,0,376832,26,25,27
1782712135,21.85,115368156,24.81,880,1572864,216672,205,31199,8796,0,3624960,26,25,27
1782712137,20.89,115303068,24.81,903,1572864,216576,211,28269,8228,0,4894720,26,25,27
1782712140,22.37,115281704,23.70,931,1572864,216576,209,32218,14071,0,20078592,26,25,27
1782712142,23.62,115279316,23.70,960,1572864,216672,221,27573,9210,0,1961984,26,25,27
1782712144,22.03,115228540,23.70,987,1572864,216480,219,26349,7835,0,229376,26,25,27
1782712146,22.73,115203924,23.09,1011,1572864,216480,225,28683,9358,0,7565312,26,25,27
1782712148,24.54,115110592,23.09,1045,1572864,216480,226,35368,12085,0,2727936,26,25,27
1782712150,41.42,115326584,31.97,798,1572864,216576,234,26263,6902,4096,29339648,26,25,27
1782712153,28.23,115590884,31.97,845,1572864,216576,231,28090,9385,0,1277952,26,25,27
1782712155,23.28,115575464,30.13,870,1572864,216672,232,28441,11311,217088,56905728,26,25,27
