namespace,pod,container,restarts,oom_killed,exit_code
gsm-10,bsc-stub-68d675844d-whqc7,bsc-stub,0,false,
gsm-10,msc-test-stub-5b875d749d-5qfpg,msc-test-stub,0,false,
gsm-10,osmo-bsc-594654bd47-g7jsn,osmo-bsc,0,false,
gsm-10,osmo-bts-virtual-6f6bd7c469-5nnbm,osmo-bts-virtual,0,false,
gsm-10,osmo-bts-virtual-n56-7c5589df67-hg6np,osmo-bts-virtual-n56,0,false,
gsm-10,osmo-hlr-546bdb8988-mf4kd,osmo-hlr,0,false,
gsm-10,osmo-mgw-8c8fc67d6-2hw2h,osmo-mgw,0,false,
gsm-10,osmo-mobile-7cd864fcdc-kvlmw,mobile,0,false,
gsm-10,osmo-stp-768687f494-ft72z,osmo-stp,0,false,
gsm-10,ttcn3-tc-26-6-5-7-1-mb8mb,ttcn3,0,false,
gsm-10,virtphy-65b766dcb8-tbnwj,virtphy,0,false,
