namespace,pod,container,restarts,oom_killed,exit_code
gsm-8,bsc-stub-68d675844d-m5lvc,bsc-stub,0,false,
gsm-8,msc-test-stub-5b875d749d-9sp2j,msc-test-stub,0,false,
gsm-8,osmo-bsc-594654bd47-8x7h6,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-6f6bd7c469-z99vv,osmo-bts-virtual,0,false,
gsm-8,osmo-bts-virtual-n56-7c5589df67-m5znl,osmo-bts-virtual-n56,0,false,
gsm-8,osmo-hlr-546bdb8988-fpk8b,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-9v7cv,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-njmvr,mobile,0,false,
gsm-8,osmo-stp-768687f494-zjkbd,osmo-stp,0,false,
gsm-8,ttcn3-tc-26-6-5-3-2-1-jrh8n,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-2xs4n,virtphy,0,false,
