unix_ts,namespace,pod,cpu_m,mem_mib
1782711747,kube-system,coredns-c4dbffb5f-p9rsr,3,28
1782711747,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711747,kube-system,metrics-server-786d997795-hcp2m,7,44
1782711747,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782711747,kube-system,traefik-9bcdbbd9-qtpjt,1,37
1782711750,kube-system,coredns-c4dbffb5f-p9rsr,3,28
1782711750,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711750,kube-system,metrics-server-786d997795-hcp2m,7,44
1782711750,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782711750,kube-system,traefik-9bcdbbd9-qtpjt,1,37
1782711753,kube-system,coredns-c4dbffb5f-p9rsr,3,28
1782711753,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711753,kube-system,metrics-server-786d997795-hcp2m,7,44
1782711753,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782711753,kube-system,traefik-9bcdbbd9-qtpjt,1,37
1782711756,kube-system,coredns-c4dbffb5f-p9rsr,3,28
1782711756,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711756,kube-system,metrics-server-786d997795-hcp2m,7,44
1782711756,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782711756,kube-system,traefik-9bcdbbd9-qtpjt,1,37
1782711760,kube-system,coredns-c4dbffb5f-p9rsr,3,28
1782711760,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711760,kube-system,metrics-server-786d997795-hcp2m,7,44
1782711760,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782711760,kube-system,traefik-9bcdbbd9-qtpjt,1,37
1782711763,gsm-1,bsc-stub-68d675844d-bdwd5,30,21
1782711763,gsm-1,osmo-bsc-594654bd47-z9xq5,9,9
1782711763,gsm-1,osmo-bts-virtual-6f6bd7c469-pdf5s,11,5
1782711763,gsm-1,osmo-bts-virtual-n56-7c5589df67-lm927,11,5
1782711763,gsm-1,osmo-hlr-546bdb8988-6djvz,5,4
1782711763,gsm-1,osmo-mgw-8c8fc67d6-522j7,5,2
1782711763,gsm-1,osmo-mobile-947867b85-rtpcf,21,56
1782711763,gsm-1,osmo-stp-768687f494-b9fcp,6,9
1782711763,gsm-1,virtphy-858665df6d-xx29k,9,2
1782711763,gsm-3,bsc-stub-68d675844d-cxf9w,30,21
1782711763,gsm-3,osmo-bsc-594654bd47-qt486,8,5
1782711763,gsm-3,osmo-bts-virtual-6f6bd7c469-rv2bh,17,5
1782711763,gsm-3,osmo-bts-virtual-n56-7c5589df67-48jnf,16,5
1782711763,gsm-3,osmo-hlr-546bdb8988-tsrdj,3,2
1782711763,gsm-3,osmo-mgw-8c8fc67d6-252b5,4,2
1782711763,gsm-3,osmo-mobile-856799fbbc-qfs8v,23,32
1782711763,gsm-3,osmo-stp-768687f494-lgxd4,5,2
1782711763,gsm-3,virtphy-7c75c79c86-hczns,10,1
1782711763,gsm-7,bsc-stub-68d675844d-j2lwn,30,21
1782711763,gsm-7,osmo-bsc-594654bd47-fds64,6,5
1782711763,gsm-7,osmo-bts-virtual-6f6bd7c469-kk7l5,19,5
1782711763,gsm-7,osmo-bts-virtual-n56-7c5589df67-tq9xt,15,5
1782711763,gsm-7,osmo-hlr-546bdb8988-5n6gc,4,2
1782711763,gsm-7,osmo-mgw-8c8fc67d6-ff8pd,4,6
1782711763,gsm-7,osmo-mobile-6865667c79-jhb8h,21,47
1782711763,gsm-7,osmo-stp-768687f494-8blvw,4,2
1782711763,gsm-7,virtphy-6cd7658d46-jqxpf,10,1
1782711763,gsm-8,osmo-bts-virtual-6f6bd7c469-z99vv,16,5
1782711763,gsm-8,osmo-bts-virtual-n56-7c5589df67-m5znl,16,5
1782711763,gsm-8,osmo-stp-768687f494-zjkbd,6,2
1782711763,kube-system,coredns-c4dbffb5f-p9rsr,10,35
1782711763,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1782711763,kube-system,metrics-server-786d997795-hcp2m,8,47
1782711763,kube-system,svclb-traefik-1100f998-kpm9h,0,0
