unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782713789,57.14,114896268,13.19,339,1572864,215328,64,0,0,434176,0,6,5,32
1782713792,73.33,115221504,14.21,384,1572864,216384,64,33320,455979,573440,56401920,24,20,32
1782713795,75.34,115363376,18.52,546,1572864,216960,65,18053,66989,12423168,89571328,40,35,32
1782713798,78.70,115593544,18.52,741,1572864,217536,64,28368,153133,25632768,86159360,54,50,32
1782713801,83.09,115873964,31.29,1031,1572864,218208,71,32644,134800,4734976,97726464,66,63,32
1782713804,77.47,116262064,31.29,1266,1572864,218976,75,27241,115699,368640,45142016,81,79,32
1782713807,75.78,116566516,41.92,1647,1572864,219648,85,50364,189151,122880,88776704,86,85,32
1782713809,81.69,116691216,41.92,1934,1572864,219840,100,65425,103725,192512,51417088,86,85,32
1782713812,81.83,116656196,41.77,2115,1572864,219936,117,68015,98880,106496,23154688,86,85,32
1782713814,84.65,116782136,41.77,2245,1572864,220128,129,73080,37149,77824,14225408,86,85,32
1782713817,48.14,117029720,41.54,2315,1572864,219840,147,70120,31412,937984,32026624,86,85,32
1782713820,35.71,116850900,39.26,2427,1572864,219744,177,105622,51404,8192,57114624,86,85,32
1782713822,32.82,116767560,39.26,2516,1572864,219936,210,83294,21127,0,16125952,86,85,32
1782713824,35.32,116813852,39.26,2588,1572864,219936,235,90058,25207,16384,24956928,86,85,32
1782713826,34.75,116741540,37.64,2645,1572864,220032,246,88937,19131,9314304,11329536,86,85,32
1782713829,39.15,116827260,37.64,2764,1572864,220032,279,106296,44753,358342656,21368832,86,85,32
1782713831,38.62,116724752,36.30,2859,1572864,219936,307,88220,21132,300482560,42180608,86,85,32
1782713834,41.66,117522780,36.30,3066,1572864,219840,355,126646,42587,627200000,43839488,86,85,32
1782713836,37.47,117679888,35.08,3164,1572864,219840,382,92078,26640,207147008,31576064,86,85,32
1782713838,73.59,117685508,35.08,1641,1572864,220320,405,78183,28539,226009088,426102784,86,85,32
1782713841,40.60,117830836,33.63,1734,1572864,220320,431,111421,25963,110190592,204836864,86,85,32
1782713843,41.45,117810844,33.63,1832,1572864,220128,460,90940,22940,158482432,177631232,86,85,32
1782713846,40.27,117555152,32.38,1943,1572864,219744,499,103136,26667,101978112,148873216,86,85,32
1782713848,38.17,117563428,32.38,2032,1572864,219744,521,92461,20634,136835072,251596800,86,85,32
1782713850,38.14,117635844,34.75,2104,1572864,219552,536,91672,27808,79970304,153317376,86,85,32
1782713852,39.68,117727400,34.75,1467,1572864,219552,553,89216,21428,154988544,170807296,86,85,32
1782713854,37.97,117443796,34.75,1557,1572864,219648,581,94108,22569,172326912,116109312,86,85,32
1782713857,34.34,117319852,33.17,1645,1572864,219648,605,90766,19795,68685824,888832,86,85,32
1782713859,34.33,117178364,33.17,1725,1572864,219744,626,93497,20950,103698432,110272512,86,85,32
1782713861,35.38,117145856,31.87,1816,1572864,219936,659,89424,21463,50876416,166526976,86,85,32
1782713863,34.55,117132548,31.87,1911,1572864,219840,678,72059,23051,226508800,17784832,86,85,32
1782713866,36.87,115869044,30.52,2005,1572864,219552,702,95706,30829,151146496,60153856,86,85,32
1782713868,35.78,116305896,30.52,2082,1572864,219648,706,88982,17561,228274176,589824,86,85,32
1782713871,36.34,116386056,29.28,2186,1572864,219936,736,133444,27291,190607360,139517952,86,85,32
