namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,bsc-stub-68d675844d-wtp66,bsc-stub,0,false,
gsm-1,msc-test-stub-5b875d749d-dldnk,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-n4rnv,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-6f6bd7c469-6gr7g,osmo-bts-virtual,0,false,
gsm-1,osmo-bts-virtual-n56-7c5589df67-dqt4p,osmo-bts-virtual-n56,0,false,
gsm-1,osmo-hlr-546bdb8988-hzp5h,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-dbcxm,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-87tss,mobile,0,false,
gsm-1,osmo-stp-768687f494-69dhj,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-5-2-2-1-xcbsk,ttcn3,0,false,
gsm-1,virtphy-858665df6d-4wdjx,virtphy,0,false,
gsm-9,bsc-stub-68d675844d-nzjjh,bsc-stub,0,false,
gsm-9,msc-test-stub-5b875d749d-mlft5,msc-test-stub,0,false,
gsm-9,osmo-bsc-594654bd47-462xz,osmo-bsc,0,false,
gsm-9,osmo-bts-virtual-6f6bd7c469-qpzj9,osmo-bts-virtual,0,false,
gsm-9,osmo-bts-virtual-n56-7c5589df67-mbjkj,osmo-bts-virtual-n56,0,false,
gsm-9,osmo-hlr-546bdb8988-vs6vh,osmo-hlr,0,false,
gsm-9,osmo-mgw-8c8fc67d6-744xh,osmo-mgw,0,false,
gsm-9,osmo-mobile-7865cb9f97-8zn2s,mobile,0,false,
gsm-9,osmo-stp-768687f494-hj7cw,osmo-stp,0,false,
gsm-9,ttcn3-tc-26-6-5-4-2-1-9qdzv,ttcn3,0,false,
gsm-9,virtphy-67c44d7894-zrq9r,virtphy,0,false,
gsm-2,bsc-stub-68d675844d-vsg8t,bsc-stub,0,false,
gsm-2,msc-test-stub-5b875d749d-x2bcc,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-99hxq,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-6f6bd7c469-vscf9,osmo-bts-virtual,0,false,
gsm-2,osmo-bts-virtual-n56-7c5589df67-mvknp,osmo-bts-virtual-n56,0,false,
gsm-2,osmo-hlr-546bdb8988-8fk97,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-khjsf,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-m26qx,mobile,0,false,
gsm-2,osmo-stp-768687f494-m6bq8,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-5-2-3-1-4qtb2,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-nwzrt,virtphy,0,false,
gsm-10,bsc-stub-68d675844d-c72fc,bsc-stub,0,false,
gsm-10,msc-test-stub-5b875d749d-n5z5b,msc-test-stub,0,false,
gsm-10,osmo-bsc-594654bd47-ktbh9,osmo-bsc,0,false,
gsm-10,osmo-bts-virtual-6f6bd7c469-fzg7b,osmo-bts-virtual,0,false,
gsm-10,osmo-bts-virtual-n56-7c5589df67-4r98r,osmo-bts-virtual-n56,0,false,
gsm-10,osmo-hlr-546bdb8988-79ppg,osmo-hlr,0,false,
gsm-10,osmo-mgw-8c8fc67d6-c72z4,osmo-mgw,0,false,
gsm-10,osmo-mobile-7cd864fcdc-m4sdv,mobile,0,false,
gsm-10,osmo-stp-768687f494-nsq5f,osmo-stp,0,false,
gsm-10,ttcn3-tc-26-6-5-7-1-phpws,ttcn3,0,false,
gsm-10,virtphy-65b766dcb8-78wx7,virtphy,0,false,
gsm-3,bsc-stub-68d675844d-jx48l,bsc-stub,0,false,
gsm-3,msc-test-stub-5b875d749d-nxx6h,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-xkq8q,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-6f6bd7c469-wqkct,osmo-bts-virtual,0,false,
gsm-3,osmo-bts-virtual-n56-7c5589df67-th2l6,osmo-bts-virtual-n56,0,false,
gsm-3,osmo-hlr-546bdb8988-v4lxg,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-k8jbp,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-fgjqr,mobile,0,false,
gsm-3,osmo-stp-768687f494-pb5tv,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-6-5-2-4-1-9dh5r,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-zsf4t,virtphy,0,false,
gsm-4,bsc-stub-68d675844d-dxs4z,bsc-stub,0,false,
gsm-4,msc-test-stub-5b875d749d-l58wk,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-8nnck,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-6f6bd7c469-862wg,osmo-bts-virtual,0,false,
gsm-4,osmo-bts-virtual-n56-7c5589df67-5xsgw,osmo-bts-virtual-n56,0,false,
gsm-4,osmo-hlr-546bdb8988-qpq2j,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-2cvvc,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-4jrqb,mobile,0,false,
gsm-4,osmo-stp-768687f494-ldv9f,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-6-5-2-5-1-4hfnd,ttcn3,0,false,
gsm-4,virtphy-7cb5464db9-zxg6n,virtphy,0,false,
gsm-5,bsc-stub-68d675844d-q9k5m,bsc-stub,0,false,
gsm-5,msc-test-stub-5b875d749d-6lnzw,msc-test-stub,0,false,
gsm-5,osmo-bsc-594654bd47-gcgwh,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-6f6bd7c469-2tm6f,osmo-bts-virtual,0,false,
gsm-5,osmo-bts-virtual-n56-7c5589df67-bqp6r,osmo-bts-virtual-n56,0,false,
gsm-5,osmo-hlr-546bdb8988-558hb,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-zrxtp,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-mjm4x,mobile,0,false,
gsm-5,osmo-stp-768687f494-gbz6w,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-6-5-2-6-1-bgkvg,ttcn3,0,false,
gsm-5,virtphy-b55647b48-9vj8g,virtphy,0,false,
gsm-6,bsc-stub-68d675844d-5ls96,bsc-stub,0,false,
gsm-6,msc-test-stub-5b875d749d-s9sqj,msc-test-stub,0,false,
gsm-6,osmo-bsc-594654bd47-rvgmz,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-6f6bd7c469-jc2lw,osmo-bts-virtual,0,false,
gsm-6,osmo-bts-virtual-n56-7c5589df67-bxkdp,osmo-bts-virtual-n56,0,false,
gsm-6,osmo-hlr-546bdb8988-gpnsm,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-ff7w4,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-hrhqk,mobile,0,false,
gsm-6,osmo-stp-768687f494-d8vn7,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-6-5-2-7-1-sxbnt,ttcn3,0,false,
gsm-6,virtphy-65fcd75d7-srmqw,virtphy,0,false,
gsm-7,bsc-stub-68d675844d-5cjlc,bsc-stub,0,false,
gsm-7,msc-test-stub-5b875d749d-njm7w,msc-test-stub,0,false,
gsm-7,osmo-bsc-594654bd47-df58w,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-6f6bd7c469-v8dhc,osmo-bts-virtual,0,false,
gsm-7,osmo-bts-virtual-n56-7c5589df67-nj628,osmo-bts-virtual-n56,0,false,
gsm-7,osmo-hlr-546bdb8988-pw6xp,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-h78tq,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-fhh2r,mobile,0,false,
gsm-7,osmo-stp-768687f494-kcxqw,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-6-5-2-8-1-bfkw9,ttcn3,0,false,
gsm-7,virtphy-6cd7658d46-47vm2,virtphy,0,false,
gsm-8,bsc-stub-68d675844d-zhbsv,bsc-stub,0,false,
gsm-8,msc-test-stub-5b875d749d-qqtpv,msc-test-stub,0,false,
gsm-8,osmo-bsc-594654bd47-26wdj,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-6f6bd7c469-c5vg4,osmo-bts-virtual,0,false,
gsm-8,osmo-bts-virtual-n56-7c5589df67-qqx2g,osmo-bts-virtual-n56,0,false,
gsm-8,osmo-hlr-546bdb8988-m8ggs,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-rh62f,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-dk2cn,mobile,0,false,
gsm-8,osmo-stp-768687f494-d8n9p,osmo-stp,0,false,
gsm-8,ttcn3-tc-26-6-5-3-2-1-zvfcc,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-twd7m,virtphy,0,false,
