namespace,phase,unix_ts
gsm-1,t0,1782714589.509815557
gsm-1,t_apply,1782714590.497780509
gsm-1,t_ready,1782714632.948517119
gsm-1,t_attached,1782714754.010425979
gsm-1,t_test0,1782714754.023339632
gsm-1,t_testN,1782714843.203626341
gsm-1,t_teardown,1782714902.471910775
gsm-9,t0,1782714902.621215419
gsm-9,t_apply,1782714903.627098345
gsm-9,t_ready,1782714943.436242711
gsm-9,t_attached,1782715066.096780485
gsm-9,t_test0,1782715066.098238128
gsm-9,t_testN,1782715178.279616501
gsm-9,t_teardown,1782715232.073494643
gsm-2,t0,1782714589.511072752
gsm-2,t_apply,1782714590.359655328
gsm-2,t_ready,1782714627.798242024
gsm-2,t_attached,1782714750.040544103
gsm-2,t_test0,1782714750.042058962
gsm-2,t_testN,1782714869.437577065
gsm-2,t_teardown,1782714941.992271089
gsm-10,t0,1782714942.085933979
gsm-10,t_apply,1782714943.519857311
gsm-10,t_ready,1782714979.906336661
gsm-10,t_attached,1782715101.262232997
gsm-10,t_test0,1782715101.263896159
gsm-10,t_testN,1782715200.945257060
gsm-10,t_teardown,1782715254.234186566
gsm-3,t0,1782714589.511536990
gsm-3,t_apply,1782714590.284171273
gsm-3,t_ready,1782714627.788463021
gsm-3,t_attached,1782714750.038625819
gsm-3,t_test0,1782714750.040265147
gsm-3,t_testN,1782714848.292674246
gsm-3,t_teardown,1782714924.976886698
gsm-4,t0,1782714589.515971264
gsm-4,t_apply,1782714590.553914969
gsm-4,t_ready,1782714638.950273553
gsm-4,t_attached,1782714760.348566653
gsm-4,t_test0,1782714760.349890984
gsm-4,t_testN,1782714866.716168205
gsm-4,t_teardown,1782714937.110542583
gsm-5,t0,1782714589.517163860
gsm-5,t_apply,1782714590.594572474
gsm-5,t_ready,1782714638.953777672
gsm-5,t_attached,1782714760.392186913
gsm-5,t_test0,1782714760.393360939
gsm-5,t_testN,1782714846.640880942
gsm-5,t_teardown,1782714922.351832159
gsm-6,t0,1782714589.518669672
gsm-6,t_apply,1782714590.605526058
gsm-6,t_ready,1782714644.172576450
gsm-6,t_attached,1782714766.977371127
gsm-6,t_test0,1782714766.978866916
gsm-6,t_testN,1782714887.048801710
gsm-6,t_teardown,1782714948.119568410
gsm-7,t0,1782714589.521029277
gsm-7,t_apply,1782714590.728931729
gsm-7,t_ready,1782714644.176883777
gsm-7,t_attached,1782714766.977702702
gsm-7,t_test0,1782714766.979046898
gsm-7,t_testN,1782714868.437928968
gsm-7,t_teardown,1782714936.129965423
gsm-8,t0,1782714589.521123206
gsm-8,t_apply,1782714590.433875274
gsm-8,t_ready,1782714627.797967752
gsm-8,t_attached,1782714750.066858987
gsm-8,t_test0,1782714750.068640101
gsm-8,t_testN,1782714849.365471184
gsm-8,t_teardown,1782714926.003676164
