unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782714590,46.34,117157384,17.76,356,1572864,216288,48,0,0,0,712704,6,5,32
1782714593,83.86,117390448,17.76,418,1572864,217248,62,33869,455850,446464,95334400,24,23,32
1782714595,82.36,117037144,27.55,548,1572864,217440,67,17451,71152,1863680,93765632,39,35,32
1782714598,80.43,117418824,27.55,740,1572864,218688,68,26083,107456,7614464,253407232,53,49,32
1782714601,81.70,117911664,37.83,1011,1572864,219168,75,30093,147439,614400,74178560,66,62,32
1782714604,90.91,118600728,37.83,1216,1572864,220320,83,41393,112839,20742144,46034944,79,75,32
1782714608,82.52,118829180,47.78,1515,1572864,221184,99,65563,120990,1536000,116215808,86,85,32
1782714611,85.82,119143744,48.52,1769,1572864,220896,112,61488,183339,229376,65998848,86,85,32
1782714615,56.51,119798748,48.52,1996,1572864,220800,140,64129,123068,45056,13828096,86,85,32
1782714617,80.01,121126836,48.23,2160,1572864,220800,161,98733,52453,135168,27783168,86,85,32
1782714621,76.70,120832252,49.58,2306,1572864,220800,186,94314,52612,106496,69779456,86,85,32
1782714624,94.66,120412532,49.58,2301,1572864,221184,216,107501,43354,77824,35737600,86,85,32
1782714627,96.20,120543748,50.09,2440,1572864,220608,246,123072,51398,159744,181063680,86,85,32
1782714629,71.05,120289616,50.09,2548,1572864,220896,274,81802,36156,147456,27463680,86,85,32
1782714631,47.53,119105308,47.52,2635,1572864,220896,311,93476,30310,4096,29925376,86,85,32
1782714634,49.33,119217960,47.52,2710,1572864,220800,330,89857,16640,0,15507456,86,85,32
1782714636,49.65,119420900,45.08,2814,1572864,220896,367,93176,22718,114688,8433664,86,85,32
1782714639,46.24,119339036,45.08,2892,1572864,220800,402,97982,37861,20480,18182144,86,85,32
1782714642,47.00,119049132,43.63,3005,1572864,220992,443,120992,41442,659456,31182848,86,85,32
1782714644,49.62,118967280,43.63,3086,1572864,220896,467,89857,27747,77824,9048064,86,85,32
1782714646,49.94,118853240,43.42,3200,1572864,220704,497,99309,25707,131072,45600768,86,85,32
1782714649,48.85,118916260,43.42,3272,1572864,220608,523,93325,21350,0,26968064,86,85,32
1782714651,52.19,118970128,42.82,1410,1572864,220608,546,92374,20067,8192,146788352,86,85,32
1782714653,49.08,119272696,42.82,1503,1572864,220320,574,101311,25010,0,18755584,86,85,32
1782714656,47.95,119215856,40.92,1612,1572864,220416,590,96147,23688,65536,44105728,86,85,32
1782714658,48.38,119205816,40.92,1695,1572864,220416,607,99260,23710,24576,13729792,86,85,32
1782714660,48.90,119190548,39.16,1776,1572864,220704,631,88429,26541,94208,20615168,86,85,32
1782714663,49.17,119143028,39.16,1867,1572864,220608,654,90246,21422,135168,4575232,86,85,32
1782714665,48.98,119417096,37.71,1964,1572864,220608,678,95955,21933,692224,17338368,86,85,32
1782714667,47.86,119301024,37.71,2067,1572864,220704,701,94741,25386,0,22597632,86,85,32
1782714670,48.08,119321792,37.71,2139,1572864,220992,716,101052,23434,0,8904704,86,85,32
1782714672,49.54,119317168,37.17,2236,1572864,221088,730,91240,20977,0,36691968,86,85,32
1782714674,49.22,119266004,37.17,2327,1572864,220704,723,90905,30422,0,18182144,86,85,32
1782714676,47.72,119319484,36.51,2420,1572864,220512,755,93652,22663,4096,12869632,86,85,32
1782714679,49.52,119119952,36.51,2498,1572864,220608,748,93364,20429,4096,173363200,86,85,32
1782714681,47.81,119098024,35.51,2586,1572864,220512,775,90647,19695,4096,28553216,86,85,32
1782714684,73.86,119133488,35.51,1732,1572864,220896,767,101275,25836,24576,41041920,86,85,32
1782714686,57.14,119433892,34.75,1847,1572864,220704,805,93766,22906,4096,5763072,86,85,32
1782714689,46.33,119374312,34.75,1952,1572864,220704,800,108399,35650,0,24567808,86,85,32
1782714691,47.41,119366300,33.81,2032,1572864,220608,778,89400,18863,4096,7012352,86,85,32
1782714694,47.98,119196472,33.81,2112,1572864,220320,803,96033,22264,0,13430784,86,85,32
1782714696,47.43,119075592,33.18,2220,1572864,220224,773,99840,25037,266240,28291072,86,85,32
1782714699,45.69,119010836,33.18,2318,1572864,220032,749,111951,27977,0,30601216,86,85,32
1782714701,47.41,119009984,32.61,2404,1572864,220128,778,93078,20925,0,32813056,86,85,32
1782714704,47.87,119121620,32.61,2491,1572864,220320,757,97770,23999,0,13545472,86,85,32
1782714706,47.10,118924680,32.88,2573,1572864,220320,791,94747,33008,16384,159268864,86,85,32
1782714708,47.37,118973188,32.88,2642,1572864,220608,764,95334,21318,0,11980800,86,85,32
1782714710,47.06,119005640,31.61,2715,1572864,220608,792,91543,22121,12288,15896576,86,85,32
1782714713,48.81,119020956,31.61,2001,1572864,220608,770,91632,20222,0,10878976,86,85,32
1782714715,47.75,119049288,30.44,2090,1572864,220800,744,94311,21230,155648,9404416,86,85,32
1782714717,50.87,119160624,30.44,2178,1572864,220896,772,96720,23072,0,14991360,86,85,32
1782714720,48.15,119239736,29.28,2262,1572864,220800,757,98035,32582,0,34418688,86,85,32
1782714722,47.36,119181964,29.28,2370,1572864,220896,782,91899,20612,0,6569984,86,85,32
1782714724,47.40,119098992,29.28,2472,1572864,220896,765,91792,22407,0,14123008,86,85,32
1782714727,47.77,119056800,28.78,2567,1572864,220896,789,92639,21740,4096,33562624,86,85,32
1782714729,49.17,119042364,28.78,2661,1572864,220608,762,95683,23967,0,24530944,86,85,32
1782714732,47.54,118921712,28.64,2754,1572864,220512,741,95529,20675,0,25116672,86,85,32
1782714734,48.86,118866604,28.64,2854,1572864,220320,774,101649,33384,4096,164016128,86,85,32
1782714736,47.49,118897160,28.50,2972,1572864,220416,755,99969,25912,0,9052160,86,85,32
1782714738,49.12,118995176,28.50,3052,1572864,220608,777,91194,19341,8192,59183104,86,85,32
1782714741,48.58,119055320,28.06,3132,1572864,220512,741,92561,19696,4788224,8581120,86,85,32
1782714743,54.33,119061908,28.06,3218,1572864,220512,769,93380,21653,50089984,10842112,86,85,32
1782714746,74.19,118988368,28.38,2227,1572864,220608,758,106445,28244,49426432,15056896,86,85,32
1782714749,51.98,118929296,28.38,2316,1572864,220608,725,94998,22171,92803072,5033984,86,85,32
1782714752,51.51,119157108,28.27,2426,1572864,220800,762,104091,33060,25219072,28069888,89,85,32
1782714757,86.84,119164816,37.78,2641,1572864,221088,758,194764,1568203,51896320,51429376,90,89,32
1782714759,83.63,119376448,37.78,2878,1572864,221184,751,219039,4070260,11563008,47558656,90,89,32
1782714762,51.45,119400968,36.19,2982,1572864,221280,724,165841,3145304,27271168,21991424,92,90,32
1782714765,90.00,119538332,36.19,3168,1572864,221664,700,185621,3042175,15118336,298659840,92,91,32
1782714767,93.22,119412420,39.06,3299,1572864,221280,726,145028,2250801,17833984,153903104,92,91,32
1782714770,79.07,119426312,39.06,3455,1572864,221856,692,138919,1405408,20217856,13336576,94,93,32
1782714773,81.75,119405064,41.46,2487,1572864,222144,673,186907,3500619,20115456,46284800,94,93,32
1782714775,70.71,119342976,39.58,2614,1572864,221664,712,138851,1781635,21893120,9527296,94,93,32
1782714778,66.46,119305708,39.58,2745,1572864,221472,687,125827,1367736,47505408,19226624,94,93,32
1782714780,84.07,119285120,38.97,2900,1572864,221856,714,108963,101142,22310912,21753856,94,93,32
1782714783,52.02,119350644,38.97,2996,1572864,221760,693,99469,23145,22867968,9818112,94,93,32
1782714785,52.79,119297600,37.85,3160,1572864,222240,671,97201,21373,87494656,14225408,94,93,32
1782714787,51.45,119264684,37.85,3269,1572864,222336,708,102546,27832,121868288,50208768,94,93,32
1782714790,51.27,119408628,37.85,3359,1572864,222528,676,98466,20652,54587392,21581824,94,93,32
1782714792,50.12,119293048,37.06,3453,1572864,222432,704,94861,21130,73728,18972672,94,93,32
1782714794,49.72,119327928,37.06,3548,1572864,222336,687,95177,30791,8192,174272512,94,93,32
1782714797,50.99,119403548,35.78,3648,1572864,222528,719,98336,22523,77824,10702848,94,93,32
1782714799,50.49,119313972,35.78,3739,1572864,222624,694,103960,22478,192512,32411648,94,93,32
1782714801,51.61,119320584,34.83,3829,1572864,222432,678,95918,17468,4096,11919360,94,93,32
1782714804,51.69,119240200,34.83,3927,1572864,222432,704,109764,25150,0,30711808,94,93,32
1782714806,73.64,119376708,39.17,2431,1572864,223296,688,118304,26568,114688,18464768,94,93,32
1782714810,48.02,119429772,39.17,2521,1572864,223104,714,105892,32235,32768,7032832,94,93,32
1782714812,46.44,119347836,38.20,2648,1572864,223296,715,142658,29854,57344,19570688,94,93,32
1782714814,49.86,119294448,38.20,2750,1572864,223104,700,113323,21531,0,36409344,94,93,32
1782714817,53.81,119362940,37.06,2845,1572864,222912,728,114366,19580,0,12836864,94,93,32
1782714820,52.96,120153252,37.06,2943,1572864,222624,707,123751,23707,12288,11149312,94,93,32
1782714822,50.05,120092380,36.57,3050,1572864,222816,700,151752,26451,7741440,186736640,94,93,32
1782714824,53.71,120179704,36.57,3139,1572864,222624,727,137242,30924,2871296,27308032,94,93,32
1782714826,55.45,120420988,36.13,3237,1572864,222816,725,136294,22598,86016,61075456,94,93,32
1782714829,55.63,120797600,36.13,3315,1572864,222528,744,136957,19717,176128,4435968,94,93,32
1782714832,60.03,120879456,36.60,3422,1572864,222912,740,169001,28178,507904,19365888,94,93,32
1782714834,55.52,121029016,36.60,2289,1572864,223200,730,140379,18482,4505600,20901888,94,93,32
1782714836,52.50,120930960,35.67,2404,1572864,223296,765,145613,23636,94208,15654912,94,93,32
1782714839,52.04,121007020,35.67,2502,1572864,223008,743,151308,34387,434176,7049216,94,93,32
1782714842,69.47,121129948,37.94,2582,1572864,222912,766,147835,28109,2600960,21819392,94,93,32
1782714845,95.48,121230208,37.94,2750,1572864,222720,754,233369,44274,176128,42188800,94,93,32
1782714849,94.35,121448920,38.74,2875,1572864,222528,728,218636,48096,598016,46948352,94,93,32
1782714852,81.05,122179636,39.65,3057,1572864,222432,706,179104,25472,196608,7626752,94,93,32
1782714860,93.10,122681092,52.33,2329,1572864,222048,699,353910,198707,1687552,231059456,89,89,32
1782714868,97.30,122928032,66.95,2669,1572864,221760,671,425762,86930,339968,91815936,87,86,32
1782714870,96.99,121374468,77.87,2286,1572864,220800,681,182032,40484,1380352,31383552,87,86,32
1782714877,90.23,119953424,77.87,2280,1572864,221184,656,218087,386262,966656,82350080,76,77,32
1782714882,93.57,119483168,82.81,2503,1572864,220032,576,243674,83318,1359872,183255040,67,66,32
1782714887,94.45,119516256,82.81,2644,1572864,219648,549,122759,267093,221184,50401280,60,59,32
1782714892,93.69,119448504,87.87,2197,1572864,219648,511,135025,181581,237568,64372736,45,51,32
1782714894,81.06,120180048,88.28,2349,1572864,218592,485,66631,46425,487424,33939456,43,42,32
1782714897,82.75,120661412,85.53,2187,1572864,218688,440,32725,128348,307200,73179136,39,40,32
1782714899,93.96,120598372,85.53,2225,1572864,218592,394,30059,25659,45056,15618048,37,36,32
1782714903,94.00,120571316,82.53,2275,1572864,218496,397,26239,16680,36864,41635840,35,35,32
1782714907,92.71,119979496,86.89,2391,1572864,218016,363,28940,98009,204800,147668992,32,35,32
1782714909,76.14,119046160,86.89,2527,1572864,218016,327,32198,76540,970752,36921344,32,31,32
1782714912,42.61,119309208,81.29,2120,1572864,217920,288,13742,16123,3526656,19398656,32,31,32
1782714914,59.43,118932332,81.29,2184,1572864,217728,295,15162,51367,16384,30060544,32,31,32
1782714916,81.86,118947060,81.11,2174,1572864,217920,264,19276,24342,1314816,26320896,24,23,32
1782714919,51.10,119031780,81.11,2202,1572864,217824,266,19104,18556,15163392,35385344,24,23,32
1782714921,58.10,119075008,76.46,2239,1572864,217920,242,17020,22533,4349952,15028224,20,19,32
1782714924,43.17,119316184,76.46,2265,1572864,217920,248,20074,10802,6135808,59736064,20,19,32
1782714927,45.55,119627128,74.26,2296,1572864,217824,224,17934,13917,5419008,36802560,18,19,32
1782714929,86.33,119897052,74.26,2327,1572864,217248,187,21704,22178,606208,80330752,16,15,32
1782714932,91.83,120060256,73.84,1780,1572864,217344,190,22206,9620,28672,108572672,16,15,32
1782714935,52.77,119824136,73.84,1800,1572864,217056,162,18435,5885,5390336,27181056,16,15,32
1782714938,38.35,118847332,69.44,1822,1572864,217056,151,24582,14177,0,14004224,16,15,32
1782714941,39.91,118989536,65.40,1854,1572864,217056,148,26719,19335,4096,11583488,16,15,32
1782714943,39.28,118357604,65.40,1884,1572864,217248,164,17739,7619,7811072,33443840,16,15,32
1782714946,59.72,118398984,68.90,1996,1572864,217728,149,30394,69730,1101824,40968192,26,25,32
1782714949,64.70,118468676,68.90,2084,1572864,218112,144,28978,62378,73728,29556736,26,25,32
1782714951,41.84,118891584,64.98,1467,1572864,217728,157,26575,46069,20480,29093888,26,25,32
1782714954,49.24,118980636,64.98,1458,1572864,217344,152,20110,6482,204800,55476224,26,25,32
1782714956,68.87,119425984,62.66,1407,1572864,217152,147,29741,20000,1912832,44875776,26,25,32
1782714959,93.44,119638800,62.66,1436,1572864,217152,151,29807,12771,4096,182976512,26,25,32
1782714961,75.14,119494316,61.40,1458,1572864,217152,150,28883,7864,4096,12582912,26,25,32
1782714963,40.59,119390924,61.40,1477,1572864,217344,153,24787,12155,155648,40976384,26,25,32
1782714966,38.38,118382784,57.85,1518,1572864,217344,164,33402,13552,73728,132153344,26,25,32
1782714968,39.68,118710300,57.85,1545,1572864,217440,172,40801,15676,0,12341248,26,25,32
1782714971,38.65,118564104,54.90,1570,1572864,217536,176,26261,7989,0,12308480,26,25,32
1782714973,40.22,118455868,54.90,1589,1572864,217536,174,25355,6111,8192,13488128,26,25,32
1782714975,39.57,118465748,51.94,1640,1572864,217056,185,27467,12852,4096,23224320,26,25,32
1782714977,40.81,118451292,51.94,1678,1572864,216960,188,28727,7981,135168,4730880,26,25,32
1782714979,38.48,118651748,51.94,1705,1572864,217056,198,36266,19764,24576,28033024,26,25,32
1782714981,40.07,118904232,49.06,1733,1572864,216960,197,25840,6669,4096,4362240,26,25,32
1782714984,50.49,119418828,49.06,1759,1572864,216960,202,26029,6969,5238784,41496576,26,25,32
1782714986,86.26,119811916,48.90,1794,1572864,217152,195,30823,10819,8192,232525824,26,25,32
1782714988,87.42,119842472,48.90,1827,1572864,217440,202,35604,31951,28672,4554752,26,25,32
1782714991,57.29,119526864,48.35,956,1572864,217728,201,27598,10902,0,32321536,26,25,32
1782714993,38.82,118492780,48.35,995,1572864,217824,206,25930,6297,0,13307904,26,25,32
1782714996,41.39,118347752,45.92,1037,1572864,218112,221,37231,14197,0,22667264,26,25,32
1782714998,38.87,118496380,45.92,1067,1572864,218112,216,33079,10732,192512,33484800,26,25,32
1782715000,42.01,118550940,44.08,1093,1572864,218304,226,29432,9393,122880,4800512,26,25,32
1782715003,40.36,118518668,44.08,1113,1572864,217920,217,27207,7881,0,7569408,26,25,32
1782715005,40.33,118512864,42.07,1146,1572864,218112,231,34776,15500,81920,23056384,26,25,32
1782715007,41.96,118606548,42.07,1176,1572864,218208,218,26852,8295,28672,40898560,26,25,32
1782715009,42.25,118608172,42.07,1201,1572864,218208,225,32111,11029,4546560,4866048,26,25,32
1782715012,41.75,118541552,40.22,1222,1572864,218016,221,27099,7189,8192,208834560,26,25,32
1782715014,42.52,118554024,40.22,1243,1572864,218112,208,26663,6557,8192,100638720,26,25,32
1782715016,44.97,118728296,38.76,1282,1572864,218496,219,30155,10755,8192,32231424,26,25,32
1782715018,43.70,118800004,38.76,831,1572864,218016,215,31453,10395,0,15704064,26,25,32
1782715020,43.10,118773012,36.94,863,1572864,218112,223,27377,11068,0,21045248,26,25,32
1782715023,43.63,118699568,36.94,883,1572864,218208,217,26085,6154,446464,20484096,26,25,32
1782715025,44.29,118707392,35.66,915,1572864,218112,228,28557,10082,8179712,14032896,26,25,32
1782715027,45.16,118791264,35.66,942,1572864,218208,219,30065,10756,23527424,42409984,26,25,32
1782715029,43.95,118605804,35.66,973,1572864,218400,226,39761,14997,7700480,63496192,26,25,32
1782715032,47.45,118717700,34.57,994,1572864,218400,215,25469,6681,188416,148946944,26,25,32
1782715034,45.87,118815900,34.57,1016,1572864,218304,219,27541,10357,2920448,139100160,26,25,32
1782715036,45.72,118796872,33.72,1056,1572864,218208,218,29865,10995,0,14921728,26,25,32
1782715038,45.49,119164480,33.72,1080,1572864,218208,222,30364,8343,57344,23412736,26,25,32
1782715040,44.48,119389356,32.54,1106,1572864,218208,216,26990,8545,12288,186892288,26,25,32
1782715042,43.42,119393024,32.54,1130,1572864,218208,222,27413,7857,0,5799936,26,25,32
