unix_ts,namespace,pod,cpu_m,mem_mib
1782714959,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714959,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714959,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714959,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714959,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714959,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714959,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714959,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714959,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714961,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714961,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714961,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714961,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714961,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714961,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714961,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714961,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714961,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714963,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714963,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714963,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714963,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714963,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714963,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714963,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714963,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714963,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714965,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714965,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714965,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714965,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714965,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714965,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714965,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714965,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714965,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714967,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714967,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714967,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714967,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714967,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714967,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714967,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714967,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714967,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714970,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714970,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714970,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714970,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714970,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714970,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714970,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714970,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714970,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714972,gsm-10,bsc-stub-8457dd7754-nppdw,26,21
1782714972,gsm-10,osmo-bsc-594654bd47-g97mv,8,5
1782714972,gsm-10,osmo-bts-virtual-6f6bd7c469-58nth,18,5
1782714972,gsm-10,osmo-bts-virtual-n56-7c5589df67-qm5q6,15,5
1782714972,gsm-10,osmo-hlr-546bdb8988-kbf2x,4,2
1782714972,gsm-10,osmo-mgw-8c8fc67d6-sj8ws,5,2
1782714972,gsm-10,osmo-mobile-7cd864fcdc-f9g26,24,36
1782714972,gsm-10,osmo-stp-768687f494-7gpwr,6,2
1782714972,gsm-10,virtphy-65b766dcb8-csnnh,8,1
1782714974,gsm-10,bsc-stub-8457dd7754-nppdw,2,21
