unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782469268,98.97,132886280,50.55,407,1572864,225888,52,0,0,3829760,245760,6,5,21
1782469272,96.57,133241720,54.83,481,1572864,226752,67,42356,402810,196931584,99401728,32,28,21
1782469280,94.18,133438948,54.83,627,1572864,228192,67,22203,81193,29732864,111874048,70,69,21
1782469287,99.00,133666340,90.23,886,1572864,228768,79,51683,142912,43892736,533004288,70,69,21
1782469291,95.94,133428432,95.26,1343,1572864,230208,104,66612,165683,13963264,313475072,70,69,21
1782469294,97.08,133495260,103.65,1650,1572864,229920,116,64024,222993,1331200,553148416,70,69,21
1782469299,96.75,133449256,99.75,1792,1572864,229728,135,44312,80893,1064960,170790912,70,69,21
1782469302,98.56,133333524,98.97,2052,1572864,229728,152,78766,71142,638976,402698240,70,69,21
1782469305,99.05,133404224,98.97,2201,1572864,229536,176,66439,38064,483328,155295744,70,69,21
1782469308,95.90,133329208,96.65,2029,1572864,229920,207,98571,63067,823296,42364928,70,69,21
1782469312,99.57,134793860,95.96,2153,1572864,229824,241,75628,37033,1118208,143380480,70,69,21
1782469315,98.32,134410804,95.96,2278,1572864,230208,275,99754,38364,1937408,37076992,71,70,21
1782469320,97.36,134036364,93.40,2380,1572864,229728,302,79357,28975,397312,232620032,72,71,21
1782469324,97.79,134380516,91.93,2587,1572864,229632,362,115488,61817,12111872,84733952,73,72,21
1782469328,97.60,134240756,90.41,1694,1572864,230016,408,116700,49167,16867328,434900992,75,74,21
1782469332,95.49,134333192,95.10,1897,1572864,230304,426,115535,35049,1708032,302706688,76,75,21
1782469335,90.64,134471792,95.10,2043,1572864,230112,455,97171,48090,126976,71557120,76,75,21
1782469340,96.96,134418560,95.09,2255,1572864,230496,489,93431,29275,274432,57245696,78,77,21
1782469344,98.74,135720500,101.81,2412,1572864,230976,536,96037,39892,303104,18341888,78,77,21
1782469347,92.11,133747528,97.98,2578,1572864,230784,549,89824,25565,421888,169316352,78,77,21
1782469349,96.45,134224784,97.98,2726,1572864,230880,563,80756,30805,540672,29945856,78,77,21
1782469351,84.50,134162712,94.30,2826,1572864,231168,592,74443,23419,151552,178028544,78,77,21
1782469354,84.93,134197008,94.30,2916,1572864,231168,586,72724,18109,135168,118849536,78,77,21
1782469356,75.60,134294680,89.87,2995,1572864,230976,613,70200,19267,94208,117538816,78,77,21
1782469360,95.43,134691228,89.87,3096,1572864,230880,610,81332,21786,307200,294330368,78,77,21
1782469363,96.38,135714892,88.28,3248,1572864,231168,624,108734,32849,798720,310759424,78,77,21
1782469366,90.67,135099080,88.28,3327,1572864,231168,615,77368,31617,507904,304623616,78,77,21
1782469369,97.31,134813112,86.74,3414,1572864,231072,639,80370,20333,11730944,11755520,78,77,21
1782469372,96.03,134793064,91.48,1892,1572864,231264,648,100042,32045,9105408,32989184,78,77,21
1782469375,81.75,134344728,91.48,1969,1572864,231168,622,73004,18040,237568,18558976,78,77,21
1782469378,88.78,134165268,88.24,2053,1572864,230880,619,71574,19207,421888,226177024,78,77,21
1782469381,95.85,134446936,88.24,2167,1572864,230976,650,93396,37325,204800,38338560,78,77,21
1782469385,95.15,134715792,88.54,2280,1572864,231360,643,95644,27662,59793408,388280320,78,77,21
1782469387,97.61,134416372,88.58,1895,1572864,231072,622,90067,22393,155648,76595200,78,77,21
1782469391,98.06,134328152,88.58,2004,1572864,230784,601,99496,28072,831488,75821056,78,77,21
1782469395,90.17,134638140,88.69,2105,1572864,230496,636,88409,26129,925696,103542784,78,77,21
1782469397,86.63,134244452,85.91,2237,1572864,230592,651,116070,42518,1409024,53407744,78,77,21
1782469401,96.32,134765800,85.91,2359,1572864,230688,636,97441,29460,499712,20467712,78,77,21
1782469406,71.83,134941916,91.45,2580,1572864,230496,621,143670,49213,786432,83275776,78,77,21
1782469416,96.50,134511036,95.58,2148,1572864,230592,644,216235,189847,1687552,496594944,72,71,21
1782469425,94.94,134174236,95.58,2229,1572864,230592,635,85863,118190,311296,179863552,68,68,21
1782469429,98.55,134094376,112.20,2436,1572864,229824,620,177920,84431,995328,1234706432,67,66,21
1782469432,96.94,129805584,113.47,2218,1572864,229920,606,71605,20910,548864,280383488,66,65,21
1782469435,89.96,130612332,113.47,2402,1572864,230208,586,73569,21763,516096,170438656,66,65,21
1782469439,88.46,130785000,107.83,2553,1572864,230016,622,82631,25904,352256,517152768,66,65,21
1782469447,98.32,130743320,119.93,2707,1572864,230208,561,100480,59023,552960,662138880,63,62,21
1782469454,98.10,130644944,131.63,2385,1572864,229824,570,129529,54304,573440,554475520,61,62,21
1782469457,98.29,130656540,138.13,2563,1572864,229536,536,111633,61617,708608,210030592,60,59,21
1782469461,90.94,130604252,138.13,2654,1572864,229248,521,56710,41113,315392,32870400,60,59,21
1782469467,96.45,130961932,139.40,2294,1572864,228960,512,103065,153191,790528,274780160,63,54,21
1782469488,97.56,130484864,147.24,2190,1572864,229056,476,97534,197261,1216512,645931008,64,65,21
1782469493,96.78,130532108,174.08,1995,1572864,229152,447,242617,289186,11419648,691961856,63,62,21
