unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782471811,38.10,118930636,54.95,2347,1572864,223680,475,201,0,0,593920,51,50,24
1782471816,66.94,118945188,51.91,2450,1572864,223872,475,80142,77149,40960,78802944,59,58,24
1782471818,73.54,119007456,54.64,1674,1572864,224448,473,72689,63647,69632,81162240,59,58,24
1782471821,40.13,119074780,54.64,1753,1572864,224256,492,45390,36123,49152,257708032,59,58,24
1782471824,55.87,118934020,51.22,1769,1572864,224448,497,71295,42856,4096,40763392,59,58,24
1782471827,39.69,118960500,49.76,1845,1572864,224448,486,48913,14565,12288,6287360,59,58,24
1782471830,39.35,118918652,49.76,1933,1572864,224640,511,65022,21828,4096,30060544,59,58,24
1782471832,36.50,119006216,46.98,2007,1572864,224256,515,59799,23371,28672,12300288,59,58,24
1782471835,38.68,119054600,46.98,2064,1572864,224160,508,49221,13913,4096,40222720,59,58,24
1782471837,37.44,118965108,44.50,2141,1572864,224448,528,52161,15344,0,12181504,59,58,24
1782471840,38.77,119004252,44.50,2212,1572864,224352,522,62749,28979,139264,15290368,59,58,24
1782471842,40.39,119086628,42.86,2273,1572864,224544,545,80536,16144,282624,59404288,59,58,24
1782471845,41.73,119281368,42.86,1847,1572864,224544,542,55933,17260,32768,33755136,59,58,24
1782471847,37.29,118509060,40.95,1910,1572864,224448,530,52804,15228,28758016,62304256,59,58,24
1782471849,58.42,118285260,40.95,1759,1572864,224736,543,58789,23006,28790784,224997376,59,58,24
1782471851,45.69,118262332,39.11,1838,1572864,224352,531,35626,13421,32768,42143744,59,58,24
1782471854,34.78,118030788,39.11,1897,1572864,224448,556,52601,21803,0,5648384,59,58,24
1782471856,34.75,118091404,39.11,1968,1572864,224352,553,52667,16586,81920,12267520,59,58,24
1782471858,36.36,117989996,37.10,2035,1572864,224160,569,58875,17507,241664,5906432,59,58,24
1782471861,43.00,117990176,37.10,2101,1572864,223872,550,74948,20721,139264,16818176,59,58,24
1782471863,51.26,117894288,42.37,2185,1572864,223872,546,39018,18569,0,10141696,59,58,24
1782471865,37.56,117984876,42.37,2268,1572864,223968,570,56028,19215,8192,53895168,59,58,24
1782471868,40.80,117981980,40.42,2333,1572864,223776,548,47873,13056,8192,13930496,59,58,24
1782471870,61.26,117935444,40.42,2403,1572864,223488,570,57849,129620,4096,74891264,55,55,24
