unix_ts,namespace,pod,cpu_m,mem_mib
1782471840,gsm-57,msc-test-stub-5b875d749d-w4qcm,1,16
1782471840,gsm-57,osmo-bsc-594654bd47-9zcwv,7,5
1782471840,gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,17,5
1782471840,gsm-57,osmo-hlr-546bdb8988-x7fvx,1,2
1782471840,gsm-57,osmo-mgw-8c8fc67d6-wqztf,1,2
1782471840,gsm-57,osmo-mobile-b4d789884-q8rgr,19,35
1782471840,gsm-57,osmo-stp-768687f494-2ndvj,1,2
1782471840,gsm-57,virtphy-bcb877d75-gb7dr,7,1
1782471842,gsm-57,msc-test-stub-5b875d749d-w4qcm,1,16
1782471842,gsm-57,osmo-bsc-594654bd47-9zcwv,7,5
1782471842,gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,17,5
1782471842,gsm-57,osmo-hlr-546bdb8988-x7fvx,1,2
1782471842,gsm-57,osmo-mgw-8c8fc67d6-wqztf,1,2
1782471842,gsm-57,osmo-mobile-b4d789884-q8rgr,19,35
1782471842,gsm-57,osmo-stp-768687f494-2ndvj,1,2
1782471842,gsm-57,virtphy-bcb877d75-gb7dr,7,1
1782471845,gsm-57,msc-test-stub-5b875d749d-w4qcm,1,16
1782471845,gsm-57,osmo-bsc-594654bd47-9zcwv,7,5
1782471845,gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,17,5
1782471845,gsm-57,osmo-hlr-546bdb8988-x7fvx,1,2
1782471845,gsm-57,osmo-mgw-8c8fc67d6-wqztf,1,2
1782471845,gsm-57,osmo-mobile-b4d789884-q8rgr,19,35
1782471845,gsm-57,osmo-stp-768687f494-2ndvj,1,2
1782471845,gsm-57,virtphy-bcb877d75-gb7dr,7,1
1782471847,gsm-57,msc-test-stub-5b875d749d-w4qcm,1,16
1782471847,gsm-57,osmo-bsc-594654bd47-9zcwv,7,5
1782471847,gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,17,5
1782471847,gsm-57,osmo-hlr-546bdb8988-x7fvx,1,2
1782471847,gsm-57,osmo-mgw-8c8fc67d6-wqztf,1,2
1782471847,gsm-57,osmo-mobile-b4d789884-q8rgr,19,35
1782471847,gsm-57,osmo-stp-768687f494-2ndvj,1,2
1782471847,gsm-57,virtphy-bcb877d75-gb7dr,7,1
1782471849,gsm-57,msc-test-stub-5b875d749d-w4qcm,1,16
1782471849,gsm-57,osmo-bsc-594654bd47-9zcwv,7,5
1782471849,gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,17,5
