unix_ts,namespace,pod,cpu_m,mem_mib
1782469656,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,7,0
1782469656,gsm-11,osmo-mgw-8c8fc67d6-978xk,6,2
1782469663,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,7,0
1782469663,gsm-11,osmo-mgw-8c8fc67d6-978xk,6,2
1782469666,gsm-11,msc-test-stub-5b875d749d-w46fq,15,16
1782469666,gsm-11,osmo-bsc-594654bd47-j4xhl,3,5
1782469666,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,6,0
1782469666,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469666,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469666,gsm-11,osmo-mobile-7d9d749446-gnqhn,27,36
1782469666,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469666,gsm-11,virtphy-85bb76b745-cg96w,9,1
1782469670,gsm-11,msc-test-stub-5b875d749d-w46fq,15,16
1782469670,gsm-11,osmo-bsc-594654bd47-j4xhl,3,5
1782469670,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,6,0
1782469670,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469670,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469670,gsm-11,osmo-mobile-7d9d749446-gnqhn,27,36
1782469670,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469670,gsm-11,virtphy-85bb76b745-cg96w,9,1
1782469687,gsm-11,msc-test-stub-5b875d749d-w46fq,1,16
1782469687,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469687,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,20,5
1782469687,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469687,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469687,gsm-11,osmo-mobile-7d9d749446-gnqhn,3,36
1782469687,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469687,gsm-11,virtphy-85bb76b745-cg96w,8,1
1782469695,gsm-11,msc-test-stub-5b875d749d-w46fq,1,16
1782469695,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469695,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,27,5
1782469695,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469695,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469695,gsm-11,osmo-mobile-7d9d749446-gnqhn,3,36
1782469695,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469695,gsm-11,virtphy-85bb76b745-cg96w,7,1
1782469700,gsm-11,msc-test-stub-5b875d749d-w46fq,1,16
1782469700,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469700,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,27,5
1782469700,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469700,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469700,gsm-11,osmo-mobile-7d9d749446-gnqhn,3,36
1782469700,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469700,gsm-11,virtphy-85bb76b745-cg96w,7,1
1782469705,gsm-11,msc-test-stub-5b875d749d-w46fq,1,16
1782469705,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469705,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,27,5
1782469705,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469705,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469705,gsm-11,osmo-mobile-7d9d749446-gnqhn,3,36
1782469705,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469705,gsm-11,virtphy-85bb76b745-cg96w,7,1
1782469710,gsm-11,msc-test-stub-5b875d749d-w46fq,2,16
1782469710,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469710,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,24,5
1782469710,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469710,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469710,gsm-11,osmo-mobile-7d9d749446-gnqhn,4,36
1782469710,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469710,gsm-11,virtphy-85bb76b745-cg96w,7,1
1782469724,gsm-11,msc-test-stub-5b875d749d-w46fq,1,16
1782469724,gsm-11,osmo-bsc-594654bd47-j4xhl,1,5
1782469724,gsm-11,osmo-bts-virtual-5f8b9b86fc-7x2tz,25,5
1782469724,gsm-11,osmo-hlr-546bdb8988-z2mdd,1,2
1782469724,gsm-11,osmo-mgw-8c8fc67d6-978xk,1,2
1782469724,gsm-11,osmo-mobile-7d9d749446-gnqhn,3,36
1782469724,gsm-11,osmo-stp-768687f494-lljw6,1,2
1782469724,gsm-11,virtphy-85bb76b745-cg96w,7,1
