unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782470180,45.45,116916104,114.12,2958,1572864,224352,412,637,252,0,0,57,56,24
1782470185,79.37,116964128,112.82,2019,1572864,224544,418,93372,88961,73728,243208192,65,64,24
1782470188,79.90,116890428,108.19,2066,1572864,224544,442,73140,71631,73728,18472960,66,65,24
1782470191,56.60,117022280,108.19,2196,1572864,224736,453,60351,46319,86016,14848000,67,65,24
1782470193,81.64,117007048,101.69,2158,1572864,224544,464,67084,39020,12288,98435072,75,66,24
1782470199,85.01,117226776,107.24,1982,1572864,225120,490,109174,102233,380928,242388992,75,74,24
1782470202,90.77,117265792,106.26,2079,1572864,225120,511,86227,72606,8192,95379456,76,75,24
1782470205,58.62,117180236,106.26,2191,1572864,224928,504,65210,46569,10514432,12152832,76,75,24
1782470208,87.32,117213300,103.28,2355,1572864,224832,526,66526,31776,200704,21946368,76,75,24
1782470210,73.09,117297552,103.28,2500,1572864,224832,533,96710,30960,65536,18767872,76,75,24
1782470213,51.86,117102732,97.33,2620,1572864,224832,544,65113,68437,24576,42266624,76,75,24
1782470216,89.75,117197376,97.33,2247,1572864,224736,567,58857,83905,20480,216997888,72,75,24
1782470218,79.52,117014864,97.30,2348,1572864,224544,568,72373,28316,4096,36261888,71,70,24
1782470222,82.90,117169908,97.30,2479,1572864,224832,574,78549,33641,77824,32169984,70,69,24
1782470224,65.17,116978280,91.35,2588,1572864,225216,614,80846,25291,8192,25788416,71,70,24
1782470227,54.95,117032784,85.64,2695,1572864,225312,607,80166,21666,28672,93147136,71,70,24
1782470229,48.73,117182072,85.64,2799,1572864,225312,614,64514,17988,16384,34938880,71,70,24
1782470231,50.90,117450632,80.62,2882,1572864,225216,644,63316,24718,6676480,194674688,71,70,24
1782470234,48.79,116986176,80.62,2979,1572864,224928,632,74178,30112,6086656,33071104,71,70,24
1782470236,48.42,117039700,75.85,3060,1572864,225120,651,63630,15226,1257472,9158656,71,70,24
1782470238,73.60,117125224,75.85,3145,1572864,225504,645,69201,22706,4096,20033536,72,71,24
1782470241,48.07,116949616,75.85,3242,1572864,225408,673,61458,17171,4096,4349952,72,71,24
1782470244,54.57,117025248,73.54,3358,1572864,225312,665,61692,17756,8192,42278912,71,71,24
1782470247,83.35,117131112,70.53,2174,1572864,225408,668,89062,35001,319488,150245376,69,68,24
1782470249,51.67,117486732,70.53,2251,1572864,225312,691,66187,25553,2768896,91295744,69,68,24
1782470251,47.13,117430472,66.32,2331,1572864,225120,677,63754,17592,5398528,4300800,69,68,24
1782470254,48.34,117256340,66.32,2411,1572864,224928,659,69600,18966,16384,102027264,69,68,24
1782470256,48.43,117349200,66.32,2486,1572864,224928,691,62739,16708,8192,4325376,69,68,24
1782470259,47.39,117385040,63.41,2551,1572864,225216,677,68250,19415,155648,100376576,69,68,24
1782470261,67.86,117541600,61.94,2248,1572864,225408,707,75480,20574,0,28819456,69,68,24
1782470265,58.52,116879144,61.94,2365,1572864,225600,702,72766,70141,28672,82628608,77,76,24
1782470269,85.57,116999548,66.83,2517,1572864,225792,705,118230,44276,32768,258592768,77,76,24
1782470273,70.39,116907436,63.08,2444,1572864,225696,708,89531,77837,0,183828480,77,76,24
1782470276,60.90,116877112,63.08,2463,1572864,225504,700,93855,54702,0,42287104,77,76,24
1782470278,64.94,116961408,63.15,2572,1572864,225792,690,70130,19972,0,3850240,77,76,24
1782470281,57.29,117380532,63.15,2676,1572864,225792,714,69907,34092,20480,198492160,77,76,24
1782470283,49.89,117733608,60.26,2758,1572864,225792,696,73472,19053,4096,81268736,77,76,24
1782470285,49.96,117743980,60.26,2854,1572864,225408,729,78851,22890,61440,34902016,77,76,24
1782470288,47.40,117747164,57.35,2955,1572864,225504,717,68752,18228,4096,22020096,77,76,24
1782470290,49.27,117998324,57.35,3038,1572864,225696,744,71968,20051,0,28037120,77,76,24
1782470293,47.55,118445972,54.68,3123,1572864,225600,726,75562,19941,8192,94556160,77,76,24
1782470295,49.31,118856680,54.68,3220,1572864,225504,708,81789,32541,0,259878912,77,76,24
1782470298,52.56,119345744,52.71,3307,1572864,225504,737,71191,17743,12288,174829568,77,76,24
1782470301,80.22,119862592,52.71,3398,1572864,225312,723,79650,27369,262144,40837120,77,76,24
1782470303,98.87,120199732,56.33,3487,1572864,225504,689,86709,22304,172032,12476416,77,76,24
1782470306,80.23,120423448,56.33,3594,1572864,225216,735,81439,25193,81920,25878528,78,76,24
1782470308,84.12,120407180,53.66,2476,1572864,225504,728,83516,24888,180224,34942976,78,77,24
1782470311,55.84,120374340,53.66,2576,1572864,225216,718,69330,26899,0,11161600,78,77,24
1782470313,52.45,120596780,51.77,2711,1572864,225504,749,70135,18860,4096,14434304,78,77,24
1782470315,60.15,121259032,51.77,2798,1572864,225600,727,75603,22525,69632,255762432,78,77,24
1782470318,86.97,122032024,52.35,2885,1572864,225696,747,70761,17524,0,14151680,78,77,24
1782470321,78.16,121922232,52.35,2964,1572864,225696,730,70830,19935,0,240275456,78,77,24
1782470323,82.42,121961572,56.64,2601,1572864,225984,711,99405,28110,5808128,28299264,78,77,24
