unix_ts,namespace,pod,cpu_m,mem_mib
1782470219,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470219,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470219,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470219,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470219,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470219,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470219,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470219,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470222,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470222,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470222,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470222,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470222,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470222,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470222,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470222,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470224,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470224,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470224,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470224,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470224,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470224,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470224,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470224,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470226,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470226,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470226,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470226,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470226,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470226,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470226,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470226,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470229,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470229,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470229,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470229,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470229,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470229,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470229,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470229,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470231,gsm-36,msc-test-stub-5b875d749d-zmnjn,10,16
1782470231,gsm-36,osmo-bsc-594654bd47-z4cq4,7,5
1782470231,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,9,0
1782470231,gsm-36,osmo-hlr-546bdb8988-8j6s6,5,2
1782470231,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470231,gsm-36,osmo-mobile-5d86f44b75-257jt,5,36
1782470231,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470231,gsm-36,virtphy-74b558fbd-shxpc,6,1
1782470233,gsm-36,msc-test-stub-5b875d749d-zmnjn,1,16
1782470233,gsm-36,osmo-bsc-594654bd47-z4cq4,1,5
1782470233,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,26,5
1782470233,gsm-36,osmo-hlr-546bdb8988-8j6s6,1,2
1782470233,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470233,gsm-36,osmo-mobile-5d86f44b75-257jt,3,36
1782470233,gsm-36,osmo-stp-768687f494-4qtt4,1,2
1782470233,gsm-36,virtphy-74b558fbd-shxpc,7,1
1782470236,gsm-36,msc-test-stub-5b875d749d-zmnjn,1,16
1782470236,gsm-36,osmo-bsc-594654bd47-z4cq4,1,5
1782470236,gsm-36,osmo-bts-virtual-5f8b9b86fc-bw52k,26,5
1782470236,gsm-36,osmo-hlr-546bdb8988-8j6s6,1,2
1782470236,gsm-36,osmo-mgw-8c8fc67d6-68wzs,1,2
1782470236,gsm-36,osmo-mobile-5d86f44b75-257jt,3,36
1782470236,gsm-36,osmo-stp-768687f494-4qtt4,1,2
