unix_ts,namespace,pod,cpu_m,mem_mib
1782469937,gsm-30,osmo-bsc-594654bd47-mpzmr,8,5
1782469937,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,9,0
1782469937,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,5,2
1782469937,gsm-30,osmo-mobile-6b45bffcc-wrklp,21,33
1782469937,gsm-30,osmo-stp-768687f494-sf69s,4,2
1782469937,gsm-30,virtphy-576d44564b-lz8zj,10,1
1782469940,gsm-30,osmo-bsc-594654bd47-mpzmr,8,5
1782469940,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,9,0
1782469940,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,5,2
1782469940,gsm-30,osmo-mobile-6b45bffcc-wrklp,21,33
1782469940,gsm-30,osmo-stp-768687f494-sf69s,4,2
1782469940,gsm-30,virtphy-576d44564b-lz8zj,10,1
1782469949,gsm-30,msc-test-stub-5b875d749d-np6tw,11,16
1782469949,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782469949,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,11,5
1782469949,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782469949,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782469949,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782469949,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782469949,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782469965,gsm-30,msc-test-stub-5b875d749d-np6tw,11,16
1782469965,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782469965,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,11,5
1782469965,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782469965,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782469965,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782469965,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782469965,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782469973,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782469973,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782469973,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,26,5
1782469973,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782469973,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782469973,gsm-30,osmo-mobile-6b45bffcc-wrklp,4,33
1782469973,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782469973,gsm-30,virtphy-576d44564b-lz8zj,8,1
1782469987,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782469987,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782469987,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,26,5
1782469987,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782469987,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782469987,gsm-30,osmo-mobile-6b45bffcc-wrklp,4,33
1782469987,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782469987,gsm-30,virtphy-576d44564b-lz8zj,11,1
1782469995,gsm-30,msc-test-stub-5b875d749d-np6tw,3,16
1782469995,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782469995,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,25,5
1782469995,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782469995,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782469995,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782469995,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782469995,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782470002,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470002,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470002,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,25,5
1782470002,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470002,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470002,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470002,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470002,gsm-30,virtphy-576d44564b-lz8zj,8,1
1782470023,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470023,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470023,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,25,5
1782470023,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470023,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470023,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470023,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470023,gsm-30,virtphy-576d44564b-lz8zj,8,1
1782470038,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470038,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470038,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,22,5
1782470038,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470038,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470038,gsm-30,osmo-mobile-6b45bffcc-wrklp,2,33
1782470038,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470038,gsm-30,ttcn3-tc-26-7-2-2-1-wbx8g,1,6
1782470038,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782470042,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470042,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470042,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,24,5
1782470042,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470042,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470042,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470042,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470042,gsm-30,ttcn3-tc-26-7-2-2-1-wbx8g,1,6
1782470042,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782470046,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470046,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470046,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,24,5
1782470046,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470046,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470046,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470046,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470046,gsm-30,ttcn3-tc-26-7-2-2-1-wbx8g,1,6
1782470046,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782470060,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470060,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470060,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,29,5
1782470060,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470060,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470060,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470060,gsm-30,osmo-stp-768687f494-sf69s,1,2
1782470060,gsm-30,ttcn3-tc-26-7-2-2-1-wbx8g,1,6
1782470060,gsm-30,virtphy-576d44564b-lz8zj,7,1
1782470065,gsm-30,msc-test-stub-5b875d749d-np6tw,1,16
1782470065,gsm-30,osmo-bsc-594654bd47-mpzmr,1,5
1782470065,gsm-30,osmo-bts-virtual-5f8b9b86fc-jnhh7,29,5
1782470065,gsm-30,osmo-hlr-546bdb8988-4ztcf,1,2
1782470065,gsm-30,osmo-mgw-8c8fc67d6-rqwdt,1,2
1782470065,gsm-30,osmo-mobile-6b45bffcc-wrklp,3,33
1782470065,gsm-30,osmo-stp-768687f494-sf69s,1,2
