unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782470119,86.30,118399868,141.67,2449,1572864,223680,503,201,0,4096,974848,50,41,24
1782470123,84.60,118384220,142.10,1935,1572864,223776,454,62966,84512,12288,105189376,47,46,24
1782470126,89.46,118339040,142.10,2041,1572864,223776,466,41568,160653,143360,103555072,47,46,24
1782470129,74.54,118601440,136.96,1964,1572864,223776,438,46807,52896,139264,46170112,48,49,24
1782470134,88.40,118390116,137.85,2108,1572864,224064,421,45432,89015,20480,231686144,46,46,24
1782470137,87.43,118289048,130.25,2243,1572864,223968,409,43043,71493,8192,37421056,43,42,24
1782470140,77.82,118205408,130.25,2012,1572864,223584,385,38509,119259,4096,26103808,39,38,24
1782470143,41.23,118125492,121.50,2029,1572864,223392,406,36749,46863,20480,69947392,38,38,24
1782470146,84.24,118310668,121.50,2291,1572864,223872,379,42519,76520,1421312,50814976,45,44,24
1782470149,83.07,116847024,123.06,2212,1572864,223968,358,35934,61876,6320128,467177472,45,44,24
1782470151,83.20,116751364,131.55,2261,1572864,223872,350,41335,80462,278528,40599552,53,52,24
1782470154,79.91,116767472,131.55,2324,1572864,223968,365,42833,80969,12288,53092352,53,52,24
1782470158,80.93,116706124,133.27,2438,1572864,223776,347,39213,111378,24576,167981056,58,57,24
1782470160,88.68,116913312,133.27,2468,1572864,224352,346,63833,76307,2695168,128413696,59,58,24
1782470164,70.25,117293632,127.00,2438,1572864,224544,364,47483,32709,40960,18726912,59,58,24
1782470167,54.47,117190600,128.28,2530,1572864,224352,368,70073,49749,16384,226201600,59,58,24
1782470170,90.07,116926620,128.28,2607,1572864,224352,359,51336,40540,253952,21532672,56,55,24
1782470173,48.62,116923296,119.61,2738,1572864,224064,370,75342,32463,24576,25112576,56,55,24
1782470175,53.38,116905084,119.61,2818,1572864,224160,371,55205,24590,1748992,54616064,57,56,24
1782470178,58.33,117061792,114.12,2891,1572864,224256,389,52475,18354,13754368,49471488,57,56,24
1782470183,48.03,116857484,114.12,2985,1572864,224064,400,68378,78250,53248,211017728,65,64,24
1782470186,86.99,116915236,112.82,1979,1572864,224640,421,106605,80139,65536,82022400,65,64,24
1782470188,73.22,116895648,108.19,2110,1572864,224544,427,60814,33959,73728,7573504,66,65,24
1782470191,54.91,116940088,108.19,2037,1572864,224448,459,43919,39133,86016,19693568,67,66,24
1782470197,83.55,117043612,101.69,2175,1572864,224736,468,84519,92471,204800,98476032,75,74,24
1782470201,86.83,117208944,107.24,2014,1572864,225120,511,122824,91619,188416,292720640,76,75,24
1782470203,86.45,117197152,106.26,2133,1572864,225120,519,78915,52599,8192,40255488,76,75,24
1782470206,64.22,117194852,106.26,2276,1572864,224928,512,77011,32404,10539008,28340224,76,75,24
1782470208,92.07,117201964,103.28,2392,1572864,224736,536,64829,34462,241664,15847424,76,75,24
1782470211,56.12,117192616,103.28,2526,1572864,224736,544,64362,28561,24576,22896640,76,75,24
1782470215,59.81,117156988,97.33,2635,1572864,224832,547,65770,113314,4096,95719424,76,75,24
1782470218,86.54,117043812,97.30,2339,1572864,224640,566,116064,52506,20480,173789184,71,71,24
1782470221,82.69,117168808,97.30,2463,1572864,224832,571,81407,36180,77824,41127936,70,69,24
1782470224,61.56,116969492,91.35,2575,1572864,225120,610,75686,23115,8192,19353600,71,70,24
1782470226,59.60,116985256,85.64,2684,1572864,225504,602,84100,23311,28672,94781440,71,70,24
1782470229,48.40,117093220,85.64,2791,1572864,225312,611,66565,18779,16384,40652800,71,70,24
1782470231,50.98,117432048,80.62,2879,1572864,225120,643,63017,18545,6103040,189108224,71,70,24
1782470234,48.74,116993796,80.62,2978,1572864,224928,632,74106,35630,6660096,38637568,71,70,24
1782470236,48.61,117057388,75.85,3059,1572864,225120,651,63297,15621,1204224,9183232,71,70,24
1782470238,72.61,117108876,75.85,3143,1572864,225504,645,70591,23716,57344,15777792,72,71,24
1782470241,48.36,116944932,75.85,3241,1572864,225408,673,61778,17237,4096,8605696,72,71,24
1782470244,54.64,117025952,73.54,3358,1572864,225312,665,62362,17756,8192,42278912,71,71,24
1782470247,83.35,117130872,70.53,2174,1572864,225408,668,88593,35001,319488,148148224,69,68,24
1782470249,51.59,117486792,70.53,2251,1572864,225312,691,65919,25553,2584576,93392896,69,68,24
1782470251,47.26,117430472,66.32,2331,1572864,225120,677,64753,17864,5582848,4300800,69,68,24
1782470253,48.28,117498012,66.32,2410,1572864,224928,659,68668,18694,12288,96292864,69,68,24
1782470256,48.44,117323256,66.32,2483,1572864,224928,689,62806,16708,12288,10059776,69,68,24
1782470259,47.59,117384060,63.41,2551,1572864,225216,677,68183,19415,155648,100376576,69,68,24
1782470261,67.95,117542528,61.94,2249,1572864,225408,707,76217,20574,0,28844032,69,68,24
1782470265,57.89,116855536,61.94,2365,1572864,225408,702,72431,70141,28672,86368256,77,76,24
1782470269,86.01,116933928,66.83,2506,1572864,225792,703,110247,40396,32768,191467520,77,76,24
1782470273,70.89,116932692,63.08,2444,1572864,225696,707,96844,81717,0,247189504,77,76,24
1782470276,60.63,116885188,63.08,2458,1572864,225504,699,93922,54702,0,42287104,77,76,24
1782470278,65.41,116967724,63.15,2572,1572864,225696,690,70033,19700,0,3825664,77,76,24
1782470281,57.47,117368000,63.15,2674,1572864,225792,713,69333,33548,20480,180486144,77,76,24
1782470283,49.93,117727068,60.26,2758,1572864,225792,695,74210,19869,4096,98770944,77,76,24
1782470285,50.13,117725108,60.26,2851,1572864,225408,727,72990,19747,61440,35405824,77,76,24
1782470288,47.51,117732432,57.35,2946,1572864,225504,713,72148,19633,4096,19464192,77,76,24
1782470291,48.96,117982828,57.35,3030,1572864,225696,741,70779,19897,0,30203904,77,76,24
1782470293,47.44,118477552,54.68,3123,1572864,225600,726,80757,21833,8192,94969856,77,76,24
1782470295,49.67,118856440,54.68,3220,1572864,225504,707,80315,32541,0,259846144,77,76,24
1782470298,51.98,119288456,52.71,3305,1572864,225504,736,70500,17483,12288,161730560,77,76,24
1782470301,80.05,119870456,52.71,3398,1572864,225312,723,80877,27629,262144,53968896,77,76,24
1782470303,98.87,120214416,56.33,3488,1572864,225504,689,87692,22510,172032,12611584,77,76,24
1782470306,78.82,120395220,56.33,3603,1572864,225216,736,81640,25193,81920,25784320,78,76,24
1782470309,85.00,120439844,53.66,2482,1572864,225408,730,86216,34154,180224,35889152,78,77,24
1782470312,53.79,120576060,51.77,2622,1572864,225216,734,81707,25376,0,11128832,78,77,24
1782470314,51.73,120973356,51.77,2745,1572864,225408,764,71996,20264,4096,96075776,78,77,24
1782470316,75.02,121615752,52.35,2832,1572864,225696,736,68115,17434,69632,183775232,78,77,24
1782470319,79.48,122314640,52.35,2914,1572864,225600,756,78694,20544,0,7569408,78,77,24
1782470321,85.13,122002776,56.64,2505,1572864,226080,743,74281,20541,1187840,246509568,78,77,24
1782470324,76.22,122021320,56.64,2613,1572864,225888,720,83886,34051,4861952,18878464,78,77,24
