unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782471030,53.57,132912772,82.84,3060,1572864,226944,498,1057,6708,0,0,59,58,24
1782471037,83.23,133140868,86.22,3226,1572864,227040,512,113266,87340,20480,308363264,67,66,24
1782471040,90.42,133278408,89.56,2125,1572864,226944,499,92572,72008,413696,109412352,68,67,24
1782471043,73.10,133404196,87.12,2243,1572864,227328,526,58461,29618,94208,58941440,68,67,24
1782471046,50.94,133319904,87.12,2253,1572864,227424,543,84835,46976,94208,365285376,68,67,24
1782471049,68.26,133377628,85.18,2367,1572864,227040,549,73556,35619,4096,222932992,68,67,24
1782471053,75.60,133583300,79.96,2490,1572864,226944,580,64561,22705,4096,19378176,68,67,24
1782471056,62.83,133326768,79.96,2256,1572864,227040,587,72690,121954,0,289812480,65,67,24
1782471059,84.77,133177816,82.85,2388,1572864,226464,589,86159,46626,4096,22671360,64,63,24
1782471062,81.59,133169580,82.94,2323,1572864,226848,576,60514,19571,0,31019008,62,61,24
1782471064,80.17,128827348,82.94,2361,1572864,226464,566,72265,22429,466944,11583488,62,61,24
1782471067,53.60,129961932,78.54,2430,1572864,226272,594,51014,15097,8192,51527680,62,61,24
1782471069,54.86,130023668,78.54,2500,1572864,226176,581,56110,16559,0,25071616,62,61,24
1782471072,49.72,130342924,73.53,2588,1572864,225984,614,63028,25358,778240,103206912,62,61,24
1782471074,50.54,130370904,73.53,2664,1572864,225696,599,54093,21203,208896,307007488,62,61,24
1782471077,51.10,130483580,68.93,2773,1572864,226080,581,60745,17928,315392,167436288,63,62,24
1782471080,66.08,130587476,68.93,2850,1572864,226272,607,69470,25494,12288,111316992,63,62,24
1782471082,63.61,130674068,65.81,2946,1572864,225792,591,64314,22590,4096,27373568,63,62,24
1782471085,56.53,130580824,65.81,3051,1572864,225888,606,58075,20623,679936,40349696,63,62,24
1782471088,76.14,130543172,64.14,3142,1572864,225696,594,65613,30302,0,7696384,60,59,24
1782471091,46.87,130526180,64.14,3215,1572864,225504,566,58384,22914,4096,17313792,60,59,24
1782471093,43.87,130412524,61.01,3291,1572864,225600,598,64123,19816,0,24121344,60,59,24
1782471096,58.07,130360172,61.01,3366,1572864,225504,596,69616,27471,98304,16879616,60,59,24
1782471099,57.48,130383948,63.17,3468,1572864,225600,589,61082,27198,0,8712192,60,59,24
1782471101,64.50,130290156,63.17,3548,1572864,225600,613,59793,37780,4096,79220736,60,59,24
1782471104,88.83,130237756,60.67,2163,1572864,225696,603,61733,115470,0,59383808,55,54,24
1782471106,53.99,130257340,57.10,2143,1572864,225792,577,44679,23069,65536,219918336,54,54,24
1782471108,45.42,130257668,57.10,2222,1572864,225600,600,53964,20588,16384,217243648,54,53,24
1782471111,44.57,130173872,57.10,2285,1572864,225696,577,45082,12311,0,7495680,54,53,24
1782471113,45.61,130001080,54.13,2348,1572864,225408,598,46966,13979,4096,19984384,54,53,24
1782471116,43.83,129681184,54.13,2418,1572864,225312,574,54005,16906,159744,21278720,54,53,24
1782471118,41.74,129609184,51.23,2477,1572864,224928,553,45860,11749,0,16433152,54,53,24
1782471120,42.09,129540776,51.23,2540,1572864,225120,572,50554,22143,0,41283584,54,53,24
1782471123,66.25,129506624,48.41,1992,1572864,225312,573,52951,16644,98304,26288128,54,53,24
1782471126,39.28,129431752,48.41,2065,1572864,225120,562,56382,19749,0,9801728,54,53,24
1782471128,42.99,129399728,49.10,2142,1572864,225120,593,47878,15231,0,7569408,54,53,24
1782471130,42.63,129309612,49.10,2212,1572864,225216,571,44769,14436,4096,19922944,54,53,24
1782471133,70.88,129428484,46.77,2293,1572864,224928,589,49807,23043,0,18198528,51,50,24
1782471135,43.92,129477716,46.77,2336,1572864,224928,560,45407,16405,4096,66109440,51,50,24
1782471137,44.95,129605720,44.54,2400,1572864,225024,580,53875,16410,0,34652160,51,50,24
1782471140,46.65,129563628,44.54,2467,1572864,225120,567,52216,16914,217088,239038464,51,50,24
1782471142,42.45,129537308,42.42,2520,1572864,225024,542,49414,13230,24576,251867136,51,50,24
1782471145,43.12,129385048,42.42,2576,1572864,225024,560,45713,11143,0,7299072,51,50,24
1782471148,43.17,129411576,40.94,2650,1572864,225216,546,60087,20286,4096,31977472,51,50,24
