unix_ts,namespace,pod,cpu_m,mem_mib
1782469268,kube-system,coredns-c4dbffb5f-p9rsr,2,28
1782469268,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,13
1782469268,kube-system,metrics-server-786d997795-hcp2m,5,41
1782469268,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782469268,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1782469272,kube-system,coredns-c4dbffb5f-p9rsr,2,28
1782469272,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,13
1782469272,kube-system,metrics-server-786d997795-hcp2m,5,41
1782469272,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782469272,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1782469280,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782469280,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,13
1782469280,kube-system,metrics-server-786d997795-hcp2m,5,44
1782469280,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782469280,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1782469287,kube-system,coredns-c4dbffb5f-p9rsr,3,29
1782469287,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,13
1782469287,kube-system,metrics-server-786d997795-hcp2m,5,44
1782469287,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782469287,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1782469291,gsm-1,osmo-bsc-594654bd47-mx7qh,4,7
1782469291,gsm-1,osmo-bts-virtual-5f8b9b86fc-gm4b2,13,6
1782469291,gsm-1,osmo-hlr-546bdb8988-vgr4h,1,2
1782469291,gsm-1,osmo-mobile-947867b85-nc2nx,18,37
1782469291,gsm-1,osmo-stp-768687f494-mflh8,1,2
1782469291,gsm-1,virtphy-858665df6d-lfhb8,7,1
1782469291,gsm-3,osmo-bsc-594654bd47-hzmx4,4,5
1782469291,gsm-3,osmo-bts-virtual-5f8b9b86fc-8dh87,12,5
1782469291,gsm-3,osmo-hlr-546bdb8988-kgmz7,1,4
1782469291,gsm-3,osmo-mgw-8c8fc67d6-dhjvl,1,11
1782469291,gsm-3,osmo-mobile-856799fbbc-dnvtq,21,72
1782469291,gsm-3,osmo-stp-768687f494-dhch9,1,2
1782469291,gsm-3,virtphy-7c75c79c86-wnvcv,7,2
1782469291,gsm-4,osmo-hlr-546bdb8988-gqmwl,5,2
1782469291,kube-system,coredns-c4dbffb5f-p9rsr,6,30
1782469291,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,13
1782469291,kube-system,metrics-server-786d997795-hcp2m,6,44
1782469291,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782469291,kube-system,traefik-9bcdbbd9-qtpjt,5,41
1782469294,gsm-1,osmo-bsc-594654bd47-mx7qh,4,7
