namespace,pod,container,restarts,oom_killed,exit_code
gsm-57,msc-test-stub-5b875d749d-w4qcm,msc-test-stub,0,false,
gsm-57,osmo-bsc-594654bd47-9zcwv,osmo-bsc,0,false,
gsm-57,osmo-bts-virtual-5f8b9b86fc-lfwsg,osmo-bts-virtual,0,false,
gsm-57,osmo-hlr-546bdb8988-x7fvx,osmo-hlr,0,false,
gsm-57,osmo-mgw-8c8fc67d6-wqztf,osmo-mgw,0,false,
gsm-57,osmo-mobile-b4d789884-q8rgr,mobile,0,false,
gsm-57,osmo-stp-768687f494-2ndvj,osmo-stp,0,false,
gsm-57,ttcn3-tc-26-2-2-1-9hd4s,ttcn3,0,false,
gsm-57,virtphy-bcb877d75-gb7dr,virtphy,0,false,
gsm-1,msc-test-stub-5b875d749d-9dc8n,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-mx7qh,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-gm4b2,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-vgr4h,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-pjhfm,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-nc2nx,mobile,0,false,
gsm-1,osmo-stp-768687f494-mflh8,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-2-1-c2r9z,ttcn3,0,false,
gsm-1,virtphy-858665df6d-lfhb8,virtphy,0,false,
gsm-25,msc-test-stub-5b875d749d-rjlp6,msc-test-stub,0,false,
gsm-25,osmo-bsc-594654bd47-8lh8t,osmo-bsc,0,false,
gsm-25,osmo-bts-virtual-5f8b9b86fc-tz5zd,osmo-bts-virtual,0,false,
gsm-25,osmo-hlr-546bdb8988-2cm8h,osmo-hlr,0,false,
gsm-25,osmo-mgw-8c8fc67d6-mhd22,osmo-mgw,0,false,
gsm-25,osmo-mobile-779b879c5f-qvrvr,mobile,0,false,
gsm-25,osmo-stp-768687f494-rjgg8,osmo-stp,0,false,
gsm-25,ttcn3-tc-26-6-13-1-1-2wcj5,ttcn3,0,false,
gsm-25,virtphy-6d78c75696-f2pkk,virtphy,0,false,
gsm-9,msc-test-stub-5b875d749d-wz4s6,msc-test-stub,0,false,
gsm-9,osmo-bsc-594654bd47-wsq57,osmo-bsc,0,false,
gsm-9,osmo-bts-virtual-5f8b9b86fc-vpm2w,osmo-bts-virtual,0,false,
gsm-9,osmo-hlr-546bdb8988-x6jp9,osmo-hlr,0,false,
gsm-9,osmo-mgw-8c8fc67d6-xqrz2,osmo-mgw,0,false,
gsm-9,osmo-mobile-7865cb9f97-k689m,mobile,0,false,
gsm-9,osmo-stp-768687f494-nkjpl,osmo-stp,0,false,
gsm-9,ttcn3-tc-26-6-3-5-1-92cl4,ttcn3,0,false,
gsm-9,virtphy-67c44d7894-hlczg,virtphy,0,false,
gsm-17,msc-test-stub-5b875d749d-9vvtk,msc-test-stub,0,false,
gsm-17,osmo-bsc-594654bd47-q4g42,osmo-bsc,0,false,
gsm-17,osmo-bts-virtual-5f8b9b86fc-j9jqp,osmo-bts-virtual,0,false,
gsm-17,osmo-hlr-546bdb8988-5dhkz,osmo-hlr,0,false,
gsm-17,osmo-mgw-8c8fc67d6-fs562,osmo-mgw,0,false,
