namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-z4xdd,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-b9k2q,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-56c6794f5c-p6g2j,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-x2qrl,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-gh4v8,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-5754t,mobile,0,false,
gsm-1,osmo-stp-768687f494-92bv8,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-3-2-1-5cs86,ttcn3,0,false,
gsm-1,virtphy-858665df6d-vrw72,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-9gd7l,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-hqvtb,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-56c6794f5c-4pc42,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-cms54,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-krdps,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-j9628,mobile,0,false,
gsm-2,osmo-stp-768687f494-bphcf,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-12-3-1-vfkfr,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-j9f7j,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-rm47h,msc-test-stub,1,false,137
gsm-3,osmo-bsc-594654bd47-vkd6s,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-56c6794f5c-s429c,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-79gdt,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-4c9kt,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-8m84t,mobile,0,false,
gsm-3,osmo-stp-768687f494-lg4vv,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-7-4-2-4-5-1-m24q9,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-pshx4,virtphy,0,false,
gsm-4,msc-test-stub-5b875d749d-8btjg,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-n2c2v,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-56c6794f5c-st5m7,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-546bdb8988-pjg4h,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-2hq78,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-6dxtc,mobile,0,false,
gsm-4,osmo-stp-768687f494-l8n7l,osmo-stp,0,false,
