unix_ts,namespace,pod,cpu_m,mem_mib
1782981749,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981749,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981749,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981749,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981749,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981749,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981749,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981749,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981752,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981752,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981752,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981752,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981752,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981752,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981752,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981752,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981754,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981754,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981754,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981754,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981754,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981754,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981754,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981754,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981757,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981757,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981757,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981757,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981757,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981757,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981757,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981757,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981760,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981760,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981760,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981760,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981760,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981760,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981760,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981760,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981762,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981762,gsm-1,osmo-bsc-594654bd47-6bxqb,2,5
1782981762,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,21,5
1782981762,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981762,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981762,gsm-1,osmo-mobile-947867b85-ccvmm,4,36
1782981762,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981762,gsm-1,virtphy-858665df6d-zv5h4,6,1
1782981764,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981764,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981764,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981764,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981764,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981764,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981764,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981764,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981767,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981767,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981767,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981767,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981767,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981767,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981767,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981767,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981769,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981769,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981769,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981769,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981769,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981769,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981769,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981769,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981772,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981772,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981772,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981772,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981772,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981772,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981772,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981772,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981774,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981774,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981774,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981774,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981774,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981774,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981774,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981774,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981776,gsm-1,msc-test-stub-5b875d749d-64crp,1,16
1782981776,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981776,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,26,5
1782981776,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981776,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981776,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981776,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981776,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981778,gsm-1,msc-test-stub-5b875d749d-64crp,2,16
1782981778,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981778,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,24,5
1782981778,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981778,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981778,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981778,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981778,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981780,gsm-1,msc-test-stub-5b875d749d-64crp,2,16
1782981780,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981780,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,24,5
1782981780,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981780,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981780,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981780,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981780,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981783,gsm-1,msc-test-stub-5b875d749d-64crp,2,16
1782981783,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981783,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,24,5
1782981783,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981783,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981783,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981783,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981783,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981785,gsm-1,msc-test-stub-5b875d749d-64crp,2,16
1782981785,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981785,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,24,5
1782981785,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981785,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981785,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
1782981785,gsm-1,osmo-stp-768687f494-b9mnn,1,2
1782981785,gsm-1,virtphy-858665df6d-zv5h4,7,1
1782981787,gsm-1,msc-test-stub-5b875d749d-64crp,2,16
1782981787,gsm-1,osmo-bsc-594654bd47-6bxqb,1,5
1782981787,gsm-1,osmo-bts-virtual-56c6794f5c-rt84x,24,5
1782981787,gsm-1,osmo-hlr-546bdb8988-st2h7,1,2
1782981787,gsm-1,osmo-mgw-8c8fc67d6-l9s6z,1,2
1782981787,gsm-1,osmo-mobile-947867b85-ccvmm,3,36
