namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,bsc-stub-8457dd7754-lvd85,bsc-stub,0,false,
gsm-1,msc-test-stub-5b875d749d-skn28,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-789mn,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-6f6bd7c469-r5mrf,osmo-bts-virtual,0,false,
gsm-1,osmo-bts-virtual-n56-7c5589df67-kxjz8,osmo-bts-virtual-n56,0,false,
gsm-1,osmo-hlr-546bdb8988-m6z2m,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-ktdqq,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-nxkwq,mobile,0,false,
gsm-1,osmo-stp-768687f494-7z6t2,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-2-1-tjt58,ttcn3,0,false,
gsm-1,virtphy-858665df6d-cghpc,virtphy,0,false,
