unix_ts,namespace,pod,cpu_m,mem_mib
1782984223,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984223,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984223,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984223,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
1782984223,gsm-2,osmo-mgw-8c8fc67d6-qvdsd,1,2
1782984223,gsm-2,osmo-mobile-6b5b79f646-vj6db,2,36
1782984223,gsm-2,osmo-stp-768687f494-nqzvp,1,2
1782984223,gsm-2,virtphy-6458f9f999-srnrd,6,1
1782984225,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984225,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984225,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984225,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
1782984225,gsm-2,osmo-mgw-8c8fc67d6-qvdsd,1,2
1782984225,gsm-2,osmo-mobile-6b5b79f646-vj6db,2,36
1782984225,gsm-2,osmo-stp-768687f494-nqzvp,1,2
1782984225,gsm-2,virtphy-6458f9f999-srnrd,6,1
1782984227,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984227,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984227,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984227,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
1782984227,gsm-2,osmo-mgw-8c8fc67d6-qvdsd,1,2
1782984227,gsm-2,osmo-mobile-6b5b79f646-vj6db,2,36
1782984227,gsm-2,osmo-stp-768687f494-nqzvp,1,2
1782984227,gsm-2,virtphy-6458f9f999-srnrd,6,1
1782984229,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984229,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984229,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984229,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
1782984229,gsm-2,osmo-mgw-8c8fc67d6-qvdsd,1,2
1782984229,gsm-2,osmo-mobile-6b5b79f646-vj6db,2,36
1782984229,gsm-2,osmo-stp-768687f494-nqzvp,1,2
1782984229,gsm-2,virtphy-6458f9f999-srnrd,6,1
1782984232,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984232,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984232,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984232,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
1782984232,gsm-2,osmo-mgw-8c8fc67d6-qvdsd,1,2
1782984232,gsm-2,osmo-mobile-6b5b79f646-vj6db,2,36
1782984232,gsm-2,osmo-stp-768687f494-nqzvp,1,2
1782984232,gsm-2,virtphy-6458f9f999-srnrd,6,1
1782984235,gsm-2,msc-test-stub-5b875d749d-gpjhm,11,16
1782984235,gsm-2,osmo-bsc-594654bd47-d78w7,5,5
1782984235,gsm-2,osmo-bts-virtual-56c6794f5c-lnznn,11,5
1782984235,gsm-2,osmo-hlr-546bdb8988-lscbb,3,2
