namespace,phase,unix_ts
gsm-1,t0,1782797009.417948032
gsm-1,t_apply,1782797010.627965179
gsm-1,t_ready,1782797048.206048926
gsm-1,t_attached,1782797049.030740549
gsm-1,t_test0,1782797049.033561386
gsm-1,t_testN,1782797228.294283978
gsm-1,t_teardown,1782797282.610122454
gsm-2,t0,1782797009.419176859
gsm-2,t_apply,1782797010.564219655
gsm-2,t_ready,1782797048.203420037
gsm-2,t_attached,1782797049.028948605
gsm-2,t_test0,1782797049.031460445
gsm-2,t_testN,1782797205.889431104
gsm-2,t_teardown,1782797260.256202249
gsm-3,t0,1782797009.419055540
gsm-3,t_apply,1782797010.647420024
gsm-3,t_ready,1782797048.203081428
gsm-3,t_attached,1782797052.168342195
gsm-3,t_test0,1782797052.170023003
gsm-3,t_testN,1782797163.278655713
gsm-3,t_teardown,1782797221.909748970
