unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782797010,20.51,101132088,10.99,712,1572864,203232,103,0,166,135168,155648,6,5,33
1782797013,50.32,101242736,13.07,740,1572864,203424,103,18093,151545,71065600,34144256,23,20,33
1782797015,70.51,101516532,13.07,646,1572864,204288,106,17250,102628,22564864,70184960,30,29,33
1782797017,37.94,101690112,12.91,774,1572864,204480,103,14692,34463,35135488,27389952,30,29,33
1782797019,38.41,101215396,12.91,863,1572864,204480,114,14979,67067,1150976,42991616,30,29,33
1782797021,47.15,101251532,14.27,1007,1572864,204768,123,14989,54284,12816384,7794688,30,29,33
1782797024,22.86,101485388,14.27,1072,1572864,205056,134,8747,10435,286720,20496384,30,29,33
1782797026,25.07,101730800,14.27,1132,1572864,204960,139,14217,6974,1097728,6459392,30,29,33
1782797029,22.65,101826272,14.17,1180,1572864,204960,141,31450,26388,122880,15613952,30,29,33
1782797031,30.22,102075072,14.40,1221,1572864,205152,158,34764,19236,479232,23867392,30,29,33
1782797034,27.46,102072216,14.40,1260,1572864,204864,168,25474,10332,49152,15507456,30,29,33
1782797036,20.25,102117596,14.40,1291,1572864,204768,180,25162,8872,32768,4091904,30,29,33
1782797039,19.60,102132860,13.65,1190,1572864,204480,182,33720,16192,151552,46403584,30,29,33
1782797041,18.70,102138148,13.65,1218,1572864,204480,181,29594,7470,8192,4780032,30,29,33
1782797043,17.57,102192112,13.35,1260,1572864,204672,198,31366,9999,114688,7458816,30,29,33
1782797045,20.43,102224612,13.35,1304,1572864,204576,213,39437,33124,20480,5464064,30,29,33
1782797048,23.50,102169364,13.25,1349,1572864,204768,223,29084,7690,909312,356352,30,29,33
1782797050,23.28,102553412,13.25,1436,1572864,204672,250,39665,15671,790528,29294592,32,31,33
1782797053,42.28,102281812,15.87,1495,1572864,205248,256,80298,2993153,6021120,26468352,32,31,33
1782797055,48.12,102345956,15.87,1607,1572864,205536,270,97145,3545926,307200,76460032,33,32,33
1782797058,29.44,102243596,15.32,1700,1572864,205536,280,66298,1727642,4075520,33243136,33,32,33
1782797060,28.32,102513952,15.32,1806,1572864,205632,291,37306,16619,8134656,2338816,33,32,33
1782797062,23.60,102558028,14.97,1860,1572864,205632,305,27471,10495,7888896,11124736,33,32,33
1782797065,23.07,102579468,14.97,1938,1572864,205632,316,27408,8453,14217216,18894848,33,32,33
1782797067,22.75,102753320,14.01,1974,1572864,205632,322,28446,8880,61440,1867776,33,32,33
1782797069,18.66,102827788,14.01,2012,1572864,205632,333,39909,19089,1327104,33480704,33,32,33
1782797072,17.83,102759444,13.21,2044,1572864,205536,346,29096,8831,45056,3125248,33,32,33
1782797074,19.00,102728860,13.21,2084,1572864,205536,349,28363,8709,98304,9408512,33,32,33
1782797076,17.07,102797176,13.21,2119,1572864,205536,365,28726,10130,0,13987840,33,32,33
