unix_ts,namespace,pod,cpu_m,mem_mib
1782797023,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797023,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797023,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797023,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797023,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797026,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797026,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797026,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797026,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797026,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797029,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797029,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797029,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797029,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797029,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797031,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797031,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797031,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797031,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797031,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797034,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797034,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797034,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797034,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797034,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797036,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797036,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797036,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797036,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797036,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797038,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797038,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797038,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797038,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797038,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797038,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797038,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797038,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797040,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797040,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797040,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797040,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797040,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797040,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797040,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797040,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797043,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797043,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797043,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797043,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797043,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797043,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797043,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797043,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797045,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797045,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797045,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797045,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797045,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797045,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797045,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797045,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797048,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797048,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797048,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797048,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797048,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797048,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797048,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797048,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797051,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797051,gsm-1,osmo-bsc-594654bd47-mk9bz,2,5
1782797051,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797051,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797051,gsm-1,osmo-mgw-8c8fc67d6-xn55k,6,2
1782797051,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797051,gsm-1,osmo-stp-768687f494-l7cqd,5,4
1782797051,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797053,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797053,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797053,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797053,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797053,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797053,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797053,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797053,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797055,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797055,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797055,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797055,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797055,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797055,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797055,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797055,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797058,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797058,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797058,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797058,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797058,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797058,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797058,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797058,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797060,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797060,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797060,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797060,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797060,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797060,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797060,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797060,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797062,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797062,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797062,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797062,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797062,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797062,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797062,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797062,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797064,gsm-1,msc-test-stub-5b875d749d-cx8w6,1,16
1782797064,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797064,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,20,6
1782797064,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797064,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797064,gsm-1,osmo-mobile-947867b85-8p7ql,3,33
1782797064,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797064,gsm-1,virtphy-858665df6d-lvtbv,7,2
1782797067,gsm-1,msc-test-stub-5b875d749d-cx8w6,3,16
1782797067,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
1782797067,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,19,6
1782797067,gsm-1,osmo-hlr-546bdb8988-x7h56,1,2
1782797067,gsm-1,osmo-mgw-8c8fc67d6-xn55k,1,2
1782797067,gsm-1,osmo-mobile-947867b85-8p7ql,4,33
1782797067,gsm-1,osmo-stp-768687f494-l7cqd,1,4
1782797067,gsm-1,ttcn3-tc-26-6-2-1-1-1-6r66s,13,19
1782797067,gsm-1,virtphy-858665df6d-lvtbv,6,2
1782797069,gsm-1,msc-test-stub-5b875d749d-cx8w6,3,16
1782797069,gsm-1,osmo-bsc-594654bd47-mk9bz,1,5
