unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1782797010,34.48,101136260,10.99,718,1572864,203232,109,52,0,25391104,2547712,6,5,33
1782797013,50.29,101235676,13.07,740,1572864,203328,103,18041,151545,45666304,31350784,23,20,33
1782797015,70.99,101518368,13.07,646,1572864,204288,106,17250,102628,22568960,70430720,30,29,33
1782797018,35.45,101147780,12.91,786,1572864,204384,111,17701,80295,35815424,44982272,30,29,33
1782797021,44.32,101154820,12.91,981,1572864,204480,119,21266,51947,11366400,31334400,30,29,33
1782797023,30.53,101436816,14.27,1054,1572864,205056,133,14440,34007,2142208,22167552,30,29,33
1782797026,24.73,101684632,14.27,1128,1572864,204960,139,14083,6974,1163264,6418432,30,29,33
1782797029,22.98,101827016,14.17,1180,1572864,204960,141,31785,26388,122880,15843328,30,29,33
1782797031,30.23,102075804,14.40,1221,1572864,205152,158,34563,19236,479232,23867392,30,29,33
1782797034,27.38,102069188,14.40,1260,1572864,204864,168,25474,10332,49152,15532032,30,29,33
1782797036,20.29,102117596,14.40,1291,1572864,204768,180,25162,8872,32768,4042752,30,29,33
1782797039,19.60,102132860,13.65,1190,1572864,204480,182,33720,16192,151552,46428160,30,29,33
1782797041,18.68,102136160,13.65,1218,1572864,204480,181,29594,7470,8192,4780032,30,29,33
1782797043,17.59,102192112,13.35,1260,1572864,204672,198,31366,9999,114688,7458816,30,29,33
1782797045,20.43,102224612,13.35,1304,1572864,204576,213,39437,33124,20480,5464064,30,29,33
1782797048,23.50,102176920,13.25,1349,1572864,204768,223,29151,7690,909312,356352,30,29,33
1782797051,23.51,102264360,13.25,1438,1572864,204672,250,40253,15858,790528,42713088,32,31,33
1782797053,41.26,102291132,15.87,1495,1572864,205248,257,83639,3130582,6021120,13049856,32,31,33
1782797055,50.79,102358728,15.87,1610,1572864,205632,270,103127,3916578,335872,77058048,33,32,33
1782797058,25.56,102243596,15.32,1700,1572864,205536,280,56521,1219374,4046848,32645120,33,32,33
1782797060,28.33,102513952,15.32,1806,1572864,205632,291,36904,16619,8134656,2338816,33,32,33
1782797062,23.57,102548972,14.97,1860,1572864,205632,305,27017,10322,7680000,11124736,33,32,33
1782797065,23.10,102587392,14.97,1938,1572864,205728,316,27236,8354,14426112,18894848,33,32,33
1782797067,22.87,102744528,14.01,1974,1572864,205632,322,28737,9152,61440,1867776,33,32,33
1782797069,18.68,102834520,14.01,2012,1572864,205632,333,40445,19089,1327104,33480704,33,32,33
1782797072,17.68,102754596,13.21,2047,1572864,205536,349,29320,9375,45056,3125248,33,32,33
1782797074,18.99,102725384,13.21,2084,1572864,205536,350,28251,8437,98304,9408512,33,32,33
1782797076,17.26,102808908,13.21,2119,1572864,205536,365,28614,9858,0,13987840,33,32,33
1782797078,18.66,102780712,15.68,2157,1572864,205440,369,32918,10148,0,5304320,33,32,33
1782797080,37.32,102907412,15.68,1217,1572864,205344,384,35036,11021,1355776,10895360,33,32,33
1782797083,19.51,102959180,15.30,1255,1572864,205440,374,28215,9294,98304,5963776,33,32,33
1782797085,17.62,103065748,15.30,1288,1572864,205344,388,29792,13608,12288,41463808,33,32,33
1782797087,17.39,103029108,14.48,1332,1572864,205440,379,27806,8690,20480,2846720,33,32,33
1782797089,17.17,102948604,14.48,1377,1572864,205440,377,41256,15386,98304,42708992,33,32,33
