unix_ts,namespace,pod,cpu_m,mem_mib
1782797010,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797010,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797010,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797010,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797010,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797013,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797013,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797013,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797013,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797013,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797015,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797015,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797015,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797015,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797015,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797017,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797017,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797017,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797017,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797017,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797019,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797019,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797019,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797019,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797019,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797021,kube-system,coredns-c4dbffb5f-p9rsr,3,27
1782797021,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797021,kube-system,metrics-server-786d997795-hcp2m,6,44
1782797021,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797021,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1782797024,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797024,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797024,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797024,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797024,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797024,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797024,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797024,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797024,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797024,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797024,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797024,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797024,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797024,kube-system,metrics-server-786d997795-hcp2m,7,44
1782797024,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797024,kube-system,traefik-9bcdbbd9-qtpjt,3,35
1782797026,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797026,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797026,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797026,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797026,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797026,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797026,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797026,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797026,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797026,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797026,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797026,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797026,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797026,kube-system,metrics-server-786d997795-hcp2m,7,44
1782797026,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797026,kube-system,traefik-9bcdbbd9-qtpjt,3,35
1782797029,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797029,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797029,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797029,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797029,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797029,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797029,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797029,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797029,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797029,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797029,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797029,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797029,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797029,kube-system,metrics-server-786d997795-hcp2m,7,44
1782797029,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797029,kube-system,traefik-9bcdbbd9-qtpjt,3,35
1782797031,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797031,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797031,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797031,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797031,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797031,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797031,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797031,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797031,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797031,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797031,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797031,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797031,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797031,kube-system,metrics-server-786d997795-hcp2m,7,44
1782797031,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797031,kube-system,traefik-9bcdbbd9-qtpjt,3,35
1782797034,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797034,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797034,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797034,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797034,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797034,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797034,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797034,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797034,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797034,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797034,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797034,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797034,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797034,kube-system,metrics-server-786d997795-hcp2m,7,44
1782797034,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1782797034,kube-system,traefik-9bcdbbd9-qtpjt,3,35
1782797036,gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,10,0
1782797036,gsm-1,osmo-hlr-546bdb8988-x7h56,4,2
1782797036,gsm-1,osmo-mgw-8c8fc67d6-xn55k,7,2
1782797036,gsm-1,osmo-mobile-947867b85-8p7ql,28,33
1782797036,gsm-1,osmo-stp-768687f494-l7cqd,6,4
1782797036,gsm-2,osmo-bsc-594654bd47-xl6r9,9,7
1782797036,gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,8,0
1782797036,gsm-2,osmo-hlr-546bdb8988-6t9pc,7,5
1782797036,gsm-2,osmo-mgw-8c8fc67d6-qrtwn,8,5
1782797036,gsm-2,osmo-mobile-6b5b79f646-m2rws,29,75
1782797036,gsm-2,osmo-stp-768687f494-mkb8c,8,4
1782797036,kube-system,coredns-c4dbffb5f-p9rsr,6,27
1782797036,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,16
1782797036,kube-system,metrics-server-786d997795-hcp2m,7,44
