namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-cx8w6,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-mk9bz,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-56c6794f5c-ppdf8,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-x7h56,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-xn55k,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-8p7ql,mobile,0,false,
gsm-1,osmo-stp-768687f494-l7cqd,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-2-1-1-1-6r66s,ttcn3,0,false,
gsm-1,virtphy-858665df6d-lvtbv,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-k7t9s,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-xl6r9,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-56c6794f5c-fnbr9,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-6t9pc,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-qrtwn,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-m2rws,mobile,0,false,
gsm-2,osmo-stp-768687f494-mkb8c,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-2-1-2-1-lfk8f,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-692mz,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-pbf8t,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-hjxkj,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-56c6794f5c-mr9jb,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-7br42,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-k5d5q,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-xk8n5,mobile,0,false,
gsm-3,osmo-stp-768687f494-bzktq,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-6-2-1-3-1-x2cft,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-r4tkq,virtphy,0,false,
